Abbreviation,Meaning,Translation,Wikipedia,Verified
MIP,molecular inversion probe,,https://en.wikipedia.org/wiki/MIP,
ML,Microlaryngoscopy,,https://en.wikipedia.org/wiki/ML,
MLD,manual lymphatic drainage,,https://en.wikipedia.org/wiki/Manual_lymphatic_drainage,
MM,multiple myeloma,,https://en.wikipedia.org/wiki/Multiple_myeloma,
MMLV,Moloney murine leukemia virus,,https://en.wikipedia.org/wiki/Murine_leukemia_virus,
MMLV-RT,Moloney murine leukemia virus reverse transcriptase,,,
MMN,multi-focal motor neuropathy,,https://en.wikipedia.org/wiki/Multifocal_motor_neuropathy,
MMSE,mini-mental state examination,,https://en.wikipedia.org/wiki/Mini%E2%80%93Mental_State_Examination,
MMTP,Methadone Maintenance Treatment Program,,https://en.wikipedia.org/wiki/Tapachula_International_Airport,
MN,midnight,,https://en.wikipedia.org/wiki/Midnight,
MO,migraine without aura,,https://en.wikipedia.org/wiki/Mo,
MO,morbid obesity,,https://en.wikipedia.org/wiki/Obesity,
MOA,mechanism of action,,https://en.wikipedia.org/wiki/Mechanism_of_action,
MODQ,Modified Oswestry Disability Questionnaire,,,
MOG,myelin oligodendrocyte glycoprotein,,https://en.wikipedia.org/wiki/Myelin_oligodendrocyte_glycoprotein,
MOH,medication overuse headache,,https://en.wikipedia.org/wiki/Medication_overuse_headache,
MOI,multiplicity of infection,,https://en.wikipedia.org/wiki/Multiplicity_of_infection,
MOM,milk of magnesia,,https://en.wikipedia.org/wiki/Magnesium_hydroxide,
MOSF,multiple organ system failure,,https://en.wikipedia.org/wiki/Multiple_organ_dysfunction_syndrome,
MP-NAAT,multiplex nucleic acid amplification test,,,
MPFL,Medial patellofemoral ligament,,https://en.wikipedia.org/wiki/Medial_patellofemoral_ligament,
MPH,methylphenidate,,https://en.wikipedia.org/wiki/Methylphenidate,
MPJ,Metatarsal Phalangeal Joint,,https://en.wikipedia.org/wiki/Policy_debate#Judging,
MPL,Medial Patella Luxation,,https://en.wikipedia.org/wiki/MPL,
MPN,myeloproliferative neoplasm,,https://en.wikipedia.org/wiki/Myeloproliferative_neoplasm,
MPNST,malignant peripheral nerve sheath tumor,,https://en.wikipedia.org/wiki/Malignant_peripheral_nerve_sheath_tumor,
MR,mental retardation,,https://en.wikipedia.org/wiki/Intellectual_disability,
MR,mitral regurgitation,,https://en.wikipedia.org/wiki/Mitral_insufficiency,
MR-SWI,magnetic resonance-susceptibility weighted imaging,,,
MR-proADM,mid-regional pro-adrenomedullin,,,
MRA,magnetic resonance angiography,,https://en.wikipedia.org/wiki/Magnetic_resonance_angiography,
MRA,mandibular repositioning appliance,,https://en.wikipedia.org/wiki/Mandibular_advancement_splint,
MRADL,mobility-related activity of daily living,,,
MRC,mitochondrial respiratory chain,,https://en.wikipedia.org/wiki/Electron_transport_chain,
MRCP,Magnetic Resonance Cholangiopancreatogram,,https://en.wikipedia.org/wiki/MRCP,
MRCP,mental retardation with cerebral palsy,,https://en.wikipedia.org/wiki/MRCP,
MRD,margin to reflex distance,,https://en.wikipedia.org/wiki/MRD,
MRI,magnetic resonance imaging,,https://en.wikipedia.org/wiki/Magnetic_resonance_imaging,
MRM,Modified Radical Mastectomy,,https://en.wikipedia.org/wiki/MRM,
MRSA,methicillin-resistant Staphylococcus aureus,,https://en.wikipedia.org/wiki/Methicillin-resistant_Staphylococcus_aureus,
MRV,magnetic resonance venogram,,https://en.wikipedia.org/wiki/MRV,
MS,mental status,,https://en.wikipedia.org/wiki/Mental_status_examination,
MS,mitral stenosis,,https://en.wikipedia.org/wiki/Mitral_valve_stenosis,
MS,morphine sulphate,,https://en.wikipedia.org/wiki/Morphine,
MS,multiple sclerosis,,https://en.wikipedia.org/wiki/Multiple_sclerosis,
MS,musculoskeletal,,https://en.wikipedia.org/wiki/Human_musculoskeletal_system,
MSA,magnetic sphincter augmentation,,https://en.wikipedia.org/wiki/MSA,
MSA,multiple system atrophy,,https://en.wikipedia.org/wiki/Multiple_system_atrophy,
MSAFP,Maternal Serum Alpha-Fetoprotein,,https://en.wikipedia.org/wiki/Alpha-fetoprotein,
MSC,mesenchymal stem cell,,https://en.wikipedia.org/wiki/Mesenchymal_stem_cell,
MSI,microsatellite instability,,https://en.wikipedia.org/wiki/Microsatellite_instability,
MSKCC,Memorial Sloan-Kettering Cancer Center,,https://en.wikipedia.org/wiki/Memorial_Sloan_Kettering_Cancer_Center,
MSLT,Multiple Sleep Latency Test,,https://en.wikipedia.org/wiki/Multiple_Sleep_Latency_Test,
MSSA,methicillin-sensitive Staphylococcus aureus,,https://en.wikipedia.org/wiki/Staphylococcus_aureus,
MTF,male-to-female,,https://en.wikipedia.org/wiki/Trans_woman#Terminology,
MTHFR,methylenetetrahydrofolate reductase,,https://en.wikipedia.org/wiki/Methylenetetrahydrofolate_reductase,
MTP,metatarsophalangeal,,https://en.wikipedia.org/wiki/Metatarsophalangeal_joints,
MTX,methotrexate,,https://en.wikipedia.org/wiki/Methotrexate,
MUA,manipulation under anesthesia,,https://en.wikipedia.org/wiki/Manipulation_under_anesthesia,
MV,mechanical ventilation,,https://en.wikipedia.org/wiki/Mechanical_ventilation,
MVA,motor vehicle accident,,https://en.wikipedia.org/wiki/Traffic_collision,
MVC,maximal voluntary contraction,,https://en.wikipedia.org/wiki/MVC,
MVD,multi-vessel disease,,https://en.wikipedia.org/wiki/Ministry_of_Internal_Affairs_(Russia),
MVO,microvascular obstruction,,https://en.wikipedia.org/wiki/No_reflow_phenomenon,
MVP,mitral valve prolapse,,https://en.wikipedia.org/wiki/Mitral_valve_prolapse,
MVR,Mitral Valve Replacement,,https://en.wikipedia.org/wiki/MVR,
MVS,mitral valve surgery,,https://en.wikipedia.org/wiki/MVS,
MVV,Mitral Valve Valvuloplasty,,https://en.wikipedia.org/wiki/MVV_Maastricht,
MWS,Mowat-Wilson syndrome,,https://en.wikipedia.org/wiki/Mowat%E2%80%93Wilson_syndrome,
Mb,myoglobin,,https://en.wikipedia.org/wiki/Myoglobin,
Mg,magnesium,,https://en.wikipedia.org/wiki/Magnesium,
MgSO₄,Magnesium sulfate,,https://en.wikipedia.org/wiki/Magnesium_sulfate,
Mpro,main protease,,https://en.wikipedia.org/wiki/Mpro,
MuSK,Muscle-Specific Kinase,,https://en.wikipedia.org/wiki/MuSK_protein,
Multi-D,multi-disciplinary,,https://en.wikipedia.org/wiki/Interdisciplinarity,
mAbs,monoclonal antibodies,,https://en.wikipedia.org/wiki/Monoclonal_antibody,
mLAP,mean left atrial pressure,,,
mPCR,multiplex polymerase chain reaction,,https://en.wikipedia.org/wiki/Multiplex_polymerase_chain_reaction,
mRNA,messenger RNA,,https://en.wikipedia.org/wiki/Messenger_RNA,
