Abbreviation,Meaning,Translation,More
ESBL,extended spectrum beta-lactamase,,https://en.wikipedia.org/wiki/Beta-lactamase#Extended-spectrum_beta-lactamase_.28ESBL.29
ESI,epidural steroid injection,,https://en.wikipedia.org/wiki/Epidural_steroid_injection
ESLD,end stage liver disease,,https://en.wikipedia.org/wiki/End_stage_pulmonary_disease
ESR,erythrocyte sedimentation rate,,https://en.wikipedia.org/wiki/Erythrocyte_sedimentation_rate
ESRD,end-stage renal disease,,https://en.wikipedia.org/wiki/Chronic_kidney_disease#Stages
ESS,Epworth Sleepiness Scale,,https://en.wikipedia.org/wiki/Epworth_Sleepiness_Scale
ESS,endoscopic sinus surgery,,https://en.wikipedia.org/wiki/Endoscopic_endonasal_surgery
EST,electroshock therapy,,https://en.wikipedia.org/wiki/Electroconvulsive_therapy
ESV,end systolic volume,,https://en.wikipedia.org/wiki/End-systolic_volume
ESWL,Extracorporeal Shock Wave Lithotripsy,,https://en.wikipedia.org/wiki/Extracorporeal_shockwave_therapy
ESWT,Extracorporeal Shock Wave Therapy,,https://en.wikipedia.org/wiki/Extracorporeal_shockwave_therapy
ET,endotracheal tube,,https://en.wikipedia.org/wiki/Tracheal_tube
ET,essential thrombocythaemia,,https://en.wikipedia.org/wiki/Essential_thrombocythemia
ET,essential tremor,,https://en.wikipedia.org/wiki/Essential_tremor
ETANTR,embryonal tumors with abundant neuropil and true rosettes,,
ETC,electron transport chain,,https://en.wikipedia.org/wiki/Electron_transport_chain
ETEC,enterotoxigenic E. coli,,https://en.wikipedia.org/wiki/ETEC
ETMR,embryonal tumor with multilayered rosettes,,
ETS,endoscopic thoracic sympathectomy,,https://en.wikipedia.org/wiki/Endoscopic_thoracic_sympathectomy
ETT,endotracheal tube,,https://en.wikipedia.org/wiki/Tracheal_tube
ETT,exercise tolerance test,,https://en.wikipedia.org/wiki/Cardiac_stress_test
EUA,Exam Under Anesthesia,,https://en.wikipedia.org/wiki/EUA
EUA,emergency use authorization,,https://en.wikipedia.org/wiki/Emergency_use_authorization
EUS,Endoscopic Ultrasound,,https://en.wikipedia.org/wiki/List_of_Medknow_Publications_academic_journals#E
EV,extracellular vesicle,,https://en.wikipedia.org/wiki/Extracellular_vesicle
EVAR,Endovascular Aneurysm Repair,,https://en.wikipedia.org/wiki/Endovascular_aneurysm_repair
EVAS,Endovascular Aneurysm Sealing,,https://en.wikipedia.org/wiki/EVAS
EVH,Endoscopic Vein Harvest,,https://en.wikipedia.org/wiki/EVH
EVLA,endovenous laser ablation,,https://en.wikipedia.org/wiki/Very_Large_Array#Past_and_future
Echo,echocardiogram,,https://en.wikipedia.org/wiki/Echocardiography
EoE,eosinophilic esophagitis,,https://en.wikipedia.org/wiki/Eosinophilic_esophagitis
Ep-GBM,epithelioid glioblastoma,,
EtG,ethyl glucuronide,,https://en.wikipedia.org/wiki/Ethyl_glucuronide
EtOH,alcohol,,https://en.wikipedia.org/wiki/Alcohol
EtS,ethyl sulfate,,https://en.wikipedia.org/wiki/Ethyl_sulfate
eGFR,Estimated Glomerular Filtration Rate,,https://en.wikipedia.org/wiki/Assessment_of_kidney_function
eSET,Elective Single Embryo Transfer,,https://en.wikipedia.org/wiki/ESET
