Abbreviation,Meaning,Translation,Wikipedia,Verified
HD,Hirschsprung's disease,,https://en.wikipedia.org/wiki/Hirschsprung%27s_disease,
HD,hemodialysis,,https://en.wikipedia.org/wiki/Hemodialysis,
HD,hemodynamically,,https://en.wikipedia.org/wiki/HD,
HD,hospital day,,https://en.wikipedia.org/wiki/HD,
HDC,histidine decarboxylase,,https://en.wikipedia.org/wiki/Histidine_decarboxylase,
HDFN,hemolytic disease of the fetus and newborn,,https://en.wikipedia.org/wiki/Hemolytic_disease_of_the_newborn,
HDL,high density lipoprotein,,https://en.wikipedia.org/wiki/High-density_lipoprotein,
HDLP,HDL particle concentration,,,
HDN,hemolytic disease of the newborn,,https://en.wikipedia.org/wiki/Hemolytic_disease_of_the_newborn,
HE,hemagglutinin–acetylesterase,,https://en.wikipedia.org/wiki/He,
HEART,"History, EKG, Age, Risk factors, initial Troponin",,https://en.wikipedia.org/wiki/Human_error_assessment_and_reduction_technique,
HEENT,"head, eyes, ears, nose, throat",,https://en.wikipedia.org/wiki/HEENT_examination,
HF,heart failure,,https://en.wikipedia.org/wiki/Heart_failure,
HFCC,high-frequency chest clearance,,https://en.wikipedia.org/wiki/Henry_Ford_College,
HFCWO,high-frequency chest wall oscillation,,,
HFNC,High-Flow Nasal Cannula,,https://en.wikipedia.org/wiki/Heated_humidified_high-flow_therapy,
HFpEF,heart failure with preserved ejection fraction,,https://en.wikipedia.org/wiki/Heart_failure_with_preserved_ejection_fraction,
HGB,hemoglobin,,https://en.wikipedia.org/wiki/Hemoglobin,
HGF,hepatocyte growth factor,,https://en.wikipedia.org/wiki/Hepatocyte_growth_factor,
HH,hiatal hernia,,https://en.wikipedia.org/wiki/Hiatal_hernia,
HHA,home health aide,,https://en.wikipedia.org/wiki/Home_care_in_the_United_States,
HHS,Hyperglycemic Hyperosmolar Syndrome,,https://en.wikipedia.org/wiki/HHS,
HI,homicidal ideation,,https://en.wikipedia.org/wiki/Homicidal_ideation,
HIDA,cholescintigraphy,,https://en.wikipedia.org/wiki/Cholescintigraphy,
HIPAA,Health Insurance Portability and Accountability Act,,https://en.wikipedia.org/wiki/Health_Insurance_Portability_and_Accountability_Act,
HIS,histidine,,https://en.wikipedia.org/wiki/Histidine,
HIV,human immunodeficiency virus,,https://en.wikipedia.org/wiki/HIV,
HK,Horseshoe Kidney,,https://en.wikipedia.org/wiki/Hong_Kong,
HL,hearing loss,,https://en.wikipedia.org/wiki/Hearing_loss,
HLA,human leukocyte antibody,,https://en.wikipedia.org/wiki/HLA,
HLA-B27,human leukocyte antigen B27,,https://en.wikipedia.org/wiki/HLA-B27,
HLD,Handicapping Labio-Lingual Deviation,,https://en.wikipedia.org/wiki/HLD,
HLP,hyperlipidemia,,https://en.wikipedia.org/wiki/Hyperlipidemia,
HM,Heineke-Mikulicz,,https://en.wikipedia.org/wiki/HM,
HM,Heller myotomy ,,https://en.wikipedia.org/wiki/Heller_myotomy,
HM,hemiplegic migraine,,https://en.wikipedia.org/wiki/Hemiplegic_migraine,
HME,home medical equipment,,https://en.wikipedia.org/wiki/Home_medical_equipment,
HMGB1,high mobility group box 1,,https://en.wikipedia.org/wiki/HMGB1,
HNMT,histamine N-methyltransferase,,https://en.wikipedia.org/wiki/Histamine_N-methyltransferase,
HNP,Herniated Nucleus Pulposus,,https://en.wikipedia.org/wiki/HNP,
HNS,hypoglossal nerve stimulation,,https://en.wikipedia.org/wiki/HNS,
HOCM,Hypertrophic Obstructive Cardiomyopathy,,https://en.wikipedia.org/wiki/Hypertrophic_cardiomyopathy,
HOMA,Homeostatic Model Assessment,,,
HOMA-IR,homeostatic model assessment of insulin resistance,,https://en.wikipedia.org/wiki/Homeostatic_model_assessment,
HP,Hypopharynx,,https://en.wikipedia.org/wiki/Pharynx#Laryngopharynx,
HPA,hypothalamic-pituitary-adrenal,,https://en.wikipedia.org/wiki/Hypothalamic%E2%80%93pituitary%E2%80%93adrenal_axis,
HPI,history of present illness,,https://en.wikipedia.org/wiki/History_of_the_present_illness,
HPS,Hantavirus pulmonary syndrome,,https://en.wikipedia.org/wiki/Hantavirus_pulmonary_syndrome,
HPV,human papillomavirus,,https://en.wikipedia.org/wiki/Human_papillomavirus_infection,
HR,hazard ratio,,https://en.wikipedia.org/wiki/Hazard_ratio,
HR,heart rate,,https://en.wikipedia.org/wiki/Heart_rate,
HR,hormone receptor,,https://en.wikipedia.org/wiki/Hormone_receptor,
HRM,high-resolution manometry,,https://en.wikipedia.org/wiki/HRM,
HRQL,health-related quality of life,,https://en.wikipedia.org/wiki/Quality_of_life_(healthcare),
HRT,hormone replacement therapy,,https://en.wikipedia.org/wiki/Hormone_replacement_therapy,
HS,at bedtime,,https://en.wikipedia.org/wiki/HS,
HS,heparan sulfate,,https://en.wikipedia.org/wiki/Heparan_sulfate,
HS,high-sensitivity,,https://en.wikipedia.org/wiki/HS,
HS-CRP,high sensitivity C-reactive protein,,https://en.wikipedia.org/wiki/C-reactive_protein,
HSAT,home sleep apnea test,,https://en.wikipedia.org/wiki/Atbara_Airport,
HSC,hematopoietic stem cells,,https://en.wikipedia.org/wiki/Hematopoietic_stem_cell,
HSCT,hematopoietic stem cell transplant,,https://en.wikipedia.org/wiki/Hematopoietic_stem_cell_transplantation,
HSP,Henoch-Schönlein purpura,,https://en.wikipedia.org/wiki/Henoch%E2%80%93Sch%C3%B6nlein_purpura,
HSP,hereditary spastic paraplegia,,https://en.wikipedia.org/wiki/Hereditary_spastic_paraplegia,
HSPG,Heparan Sulfate Proteoglycan,,https://en.wikipedia.org/wiki/Heparan_sulfate,
HSROC,hierarchical summary receiver operating characteristic,,,
HSV,herpes simplex virus,,https://en.wikipedia.org/wiki/Herpes_simplex_virus,
HTC,humidified trach collar,,https://en.wikipedia.org/wiki/HTC,
HTG,hypertriglyceridemia,,https://en.wikipedia.org/wiki/Hypertriglyceridemia,
HTN,Hypertension,,https://en.wikipedia.org/wiki/Hypertension,
HTV,height velocity,,https://en.wikipedia.org/wiki/HTV,
HU,hydroxyurea,,https://en.wikipedia.org/wiki/Hydroxycarbamide,
HUD,Humanitarian Use Device,,https://en.wikipedia.org/wiki/Hud,
HUS,hemolytic-uremic syndrome,,https://en.wikipedia.org/wiki/Hemolytic%E2%80%93uremic_syndrome,
HV,hypertensive vasculopathy,,https://en.wikipedia.org/wiki/HV,
HZV,Herpes Zoster Virus,,https://en.wikipedia.org/wiki/Shingles,
Hb,hemoglobin,,https://en.wikipedia.org/wiki/Hemoglobin,
HbSS,sickle cell,,https://en.wikipedia.org/wiki/Sickle_cell_disease,
Hct,hematocrit,,https://en.wikipedia.org/wiki/Hematocrit,
HeFH,heterozygous familial hypercholesterolaemia,,,
Hg,hemoglobin,,https://en.wikipedia.org/wiki/Hemoglobin,
Ht,height,,https://en.wikipedia.org/wiki/Height,
Hx,history,,https://en.wikipedia.org/wiki/History,
h/o,history of,,https://en.wikipedia.org/wiki/Medical_history,
hK2,human kallikrein 2,,https://en.wikipedia.org/wiki/HK2,
