Abbreviation,Meaning,Translation,More
CB,Concha bullosa,,https://en.wikipedia.org/wiki/Concha_bullosa
CB,compression bandaging,,https://en.wikipedia.org/wiki/CB
CBC,complete blood count,,https://en.wikipedia.org/wiki/Complete_blood_count
CBCT,cone beam CT,,https://en.wikipedia.org/wiki/CBCT
CBD,Common Bile Duct,,https://en.wikipedia.org/wiki/CBD
CBD,cannabidiol,,https://en.wikipedia.org/wiki/Cannabidiol
CBF,cerebral blood flow,,https://en.wikipedia.org/wiki/Cerebral_circulation#Physiology
CBI,Catheter Based Intervention,,https://en.wikipedia.org/wiki/CBI
CBI,continuous bladder irrigation,,https://en.wikipedia.org/wiki/CBI
CC,chief complaint,,https://en.wikipedia.org/wiki/Presenting_problem
CCA,C. difficile cytotoxicity assay,,https://en.wikipedia.org/wiki/CCA
CCC,complete concentric collapse,,https://en.wikipedia.org/wiki/CCC
CCJ,craniocervical junction,,https://en.wikipedia.org/wiki/CCJ
CCK,cholecystokinin,,https://en.wikipedia.org/wiki/Cholecystokinin
CCP,cardiac catheterization procedure,,https://en.wikipedia.org/wiki/CCP
CCPDMA,complete circumferential peripheral and deep margin assessment,,https://en.wikipedia.org/wiki/Complete_circumferential_peripheral_and_deep_margin_assessment
CCR7,C-C chemokine receptor type 7,,https://en.wikipedia.org/wiki/C-C_chemokine_receptor_type_7
CCRCC,clear cell renal cell carcinoma,,https://en.wikipedia.org/wiki/Clear_cell_renal_cell_carcinoma
CCS grade,Canadian Cardiovascular Society grade,,
CCTA,coronary computed tomography angiography,,https://en.wikipedia.org/wiki/CCTA
CCl4,carbon tetrachloride,,https://en.wikipedia.org/wiki/Carbon_tetrachloride
CD,Crohn's disease,,https://en.wikipedia.org/wiki/Crohn%27s_disease
CD4,cluster of differentiation 4,,https://en.wikipedia.org/wiki/CD4
CDAI,Crohn's disease activity index,,https://en.wikipedia.org/wiki/CDAI
CDC,Centers for Disease Control and Prevention,,https://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention
CDDP,cisplatin,,https://en.wikipedia.org/wiki/Cisplatin
CDEIS,Crohn’s disease index of severity,,
CDH,chronic daily headache,,https://en.wikipedia.org/wiki/CDH
CDH,congenital diaphragmatic hernia,,https://en.wikipedia.org/wiki/Congenital_diaphragmatic_hernia
CDHIS,Crohn's Disease Histological Index of Severity,,
CDI,Clostridium difficile infection,,https://en.wikipedia.org/wiki/Clostridioides_difficile_infection
CDK,cyclin-dependent kinase,,https://en.wikipedia.org/wiki/Cyclin-dependent_kinase
CDMR,Cesarean Delivery at Maternal Request,,https://en.wikipedia.org/wiki/Caesarean_delivery_on_maternal_request
CDP,contractile deceleration point,,https://en.wikipedia.org/wiki/CDP
CDPAS,consumer directed personal assistance services,,
CDR,complimentary-determining region,,https://en.wikipedia.org/wiki/CDR
CDT,carbohydrate‐deficient transferrin,,https://en.wikipedia.org/wiki/CDT
CDT,complete decongestive therapy,,https://en.wikipedia.org/wiki/Lymphedema#Complete_decongestive_therapy
CDVA,corrected distance visual acuity,,
CEA,Carotid Endarterectomy,,https://en.wikipedia.org/wiki/Carotid_endarterectomy
CED,Cervical Endoscopic Discectomy,,https://en.wikipedia.org/wiki/CED
CED,Coverage with Evidence Development,,https://en.wikipedia.org/wiki/CED
CEUS,contrast-enhanced ultrasound,,https://en.wikipedia.org/wiki/Contrast-enhanced_ultrasound
CF,cystic fibrosis,,https://en.wikipedia.org/wiki/Cystic_fibrosis
CFA,Common Femoral Artery,,https://en.wikipedia.org/wiki/CFA
CFC,cardio-facio-cutaneous syndrome,,https://en.wikipedia.org/wiki/Cardiofaciocutaneous_syndrome
CFCS,Communication Function Classification System,,https://en.wikipedia.org/wiki/Communication_Function_Classification_System
CFRD,Cystic Fibrosis Related Diabetes,,https://en.wikipedia.org/wiki/Dam#Concrete-face_rock-fill_dams
CFTR,cystic fibrosis transmembrane conductance regulator,,https://en.wikipedia.org/wiki/Cystic_fibrosis_transmembrane_conductance_regulator
CFU,colony forming unit,,https://en.wikipedia.org/wiki/Colony-forming_unit
CFV,contractile front velocity,,https://en.wikipedia.org/wiki/Colorado_for_Family_Values
CG,compression garment,,https://en.wikipedia.org/wiki/Compression_garment
CGH,comparative genomic hybridization,,https://en.wikipedia.org/wiki/Comparative_genomic_hybridization
CGM,continuous glucose monitoring,,https://en.wikipedia.org/wiki/Continuous_glucose_monitor
CGMS,continuous glucose monitoring system,,https://en.wikipedia.org/wiki/CGMS-A
CGRP,calcitonin gene-related peptide,,https://en.wikipedia.org/wiki/Calcitonin_gene-related_peptide
CHA2DS2-VASc,"congestive heart failure, hypertension, age ≥ 75, diabetes mellitus, prior stroke or TIA or thromboembolism, vascular disease, age 65-74, sex category",,https://en.wikipedia.org/wiki/CHA2DS2%E2%80%93VASc_score
CHD,congenital heart disease,,https://en.wikipedia.org/wiki/Congenital_heart_defect
CHF,congestive heart failure,,https://en.wikipedia.org/wiki/Heart_failure
CHG,chlorhexidine-gluconate,,https://en.wikipedia.org/wiki/CHG
CHI,closed head injury,,https://en.wikipedia.org/wiki/Closed-head_injury
CHIKV,chikungunya virus,,https://en.wikipedia.org/wiki/Chikungunya#Virology
CHL,Conductive Hearing Loss,,https://en.wikipedia.org/wiki/CHL
CHRD,cysteine–histidine rich domain,,https://en.wikipedia.org/wiki/CHRD
CI,Cochlear Implant,,https://en.wikipedia.org/wiki/Cochlear_implant
CI,confidence interval,,https://en.wikipedia.org/wiki/Confidence_interval
CIA,Common Iliac Artery,,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
CIC,chronic idiopathic constipation,,https://en.wikipedia.org/wiki/Functional_constipation
CIC,clean intermittent catheterization,,https://en.wikipedia.org/wiki/Intermittent_catheterisation
CID,compromised immune disorder,,https://en.wikipedia.org/wiki/CID
CIDP,Chronic Inflammatory Demyelinating Polyneuropathy,,https://en.wikipedia.org/wiki/Chronic_inflammatory_demyelinating_polyneuropathy
CIDT,culture-independent diagnostic test,,https://en.wikipedia.org/wiki/Mobile_wireless_sensor_network#Topology
CIM,critical illness myopathy,,https://en.wikipedia.org/wiki/Critical_illness_polyneuropathy
CIN,Contrast Induced Nephropathy,,https://en.wikipedia.org/wiki/Cin
CIN,cervical intraepithelial neoplasia,,https://en.wikipedia.org/wiki/Cervical_intraepithelial_neoplasia
CIS,carcinoma in situ,,https://en.wikipedia.org/wiki/Carcinoma_in_situ
CIWA,Clinical Institute Withdrawal Assessment,,https://en.wikipedia.org/wiki/Clinical_Institute_Withdrawal_Assessment_for_Alcohol
CK,creatine kinase,,https://en.wikipedia.org/wiki/Creatine_kinase
CK18,Cytokeratin 18 Fragments,,https://en.wikipedia.org/wiki/Keratin_18
CKD,chronic kidney disease,,https://en.wikipedia.org/wiki/Chronic_kidney_disease
CKI,cyclin-dependent kinase inhibitor,,https://en.wikipedia.org/wiki/Cyclin-dependent_kinase_inhibitor_protein
CKIδ,casein kinase 1 delta,,
CKMB,creatine kinase isoenzyme MB,,https://en.wikipedia.org/wiki/Cardiac_marker
CLBP,chronic low back pain,,
CLIA,Clinical Laboratory Improvement Amendments,,https://en.wikipedia.org/wiki/Clinical_Laboratory_Improvement_Amendments
CLL,chronic lymphocytic leukemia,,https://en.wikipedia.org/wiki/Chronic_lymphocytic_leukemia
CLND,complete lymph node dissection ,,
CM,Chiari malformation,,https://en.wikipedia.org/wiki/Chiari_malformation
CM,cardiomegaly,,https://en.wikipedia.org/wiki/Cardiomegaly
CM,cardiomyopathy,,https://en.wikipedia.org/wiki/Cardiomyopathy
CM,cell membrane,,https://en.wikipedia.org/wiki/Cell_membrane
CM,chronic migraine,,https://en.wikipedia.org/wiki/Migraine
CM-AVM,capillary malformation–ateriovenous malformation syndrome,,
CMA,chromosomal microarray analysis,,https://en.wikipedia.org/wiki/Comparative_genomic_hybridization#Array-CGH
CMAP,compound muscle action potential,,https://en.wikipedia.org/wiki/Compound_muscle_action_potential
CMB,cerebral microbleed,,https://en.wikipedia.org/wiki/Cosmic_microwave_background
CML,chronic myeloid leukemia,,https://en.wikipedia.org/wiki/Chronic_myelogenous_leukemia
CMP,cardiomyopathy,,https://en.wikipedia.org/wiki/Cardiomyopathy
CMP,comprehensive metabolic panel,,https://en.wikipedia.org/wiki/Comprehensive_metabolic_panel
CMPA,cow’s milk protein allergy,,https://en.wikipedia.org/wiki/CMPA
CMR,cardiac magnetic resonance,,https://en.wikipedia.org/wiki/Cardiac_magnetic_resonance_imaging
CMS,Centers for Medicare & Medicaid Services,,https://en.wikipedia.org/wiki/Centers_for_Medicare_%26_Medicaid_Services
CMT,cervical motion tenderness,,https://en.wikipedia.org/wiki/Cervical_motion_tenderness
CMV,continuous mandatory ventilation,,https://en.wikipedia.org/wiki/Continuous_mandatory_ventilation
CMV,cytomegalovirus,,https://en.wikipedia.org/wiki/Cytomegalovirus
CN,cranial nerve,,https://en.wikipedia.org/wiki/Cranial_nerves
CN,cytogenetically normal,,https://en.wikipedia.org/wiki/Cn
CNA,copy number alteration,,https://en.wikipedia.org/wiki/CNA
CNS,central nervous system,,https://en.wikipedia.org/wiki/Central_nervous_system
CNT,carbon nanotube,,https://en.wikipedia.org/wiki/Carbon_nanotube
CNV,choroidal neovascularization,,https://en.wikipedia.org/wiki/Choroidal_neovascularization
CNV,copy number variant,,https://en.wikipedia.org/wiki/Copy-number_variation
CO,carbon monoxide,,https://en.wikipedia.org/wiki/Carbon_monoxide
CO,cardiac output,,https://en.wikipedia.org/wiki/Cardiac_output
CO2,carbon dioxide,,https://en.wikipedia.org/wiki/Carbon_dioxide
COC,certificate of coverage,,https://en.wikipedia.org/wiki/COC
COLD,chronic obstructive lung disease,,https://en.wikipedia.org/wiki/Chronic_obstructive_pulmonary_disease
COM,Chronic Otitis Media,,https://en.wikipedia.org/wiki/Com
COME,Chronic Otitis Media With Effusion,,
COMT,catechol-O-methyltransferase,,https://en.wikipedia.org/wiki/Catechol-O-methyltransferase
COOG,Collaborative Ocular Oncology Group,,
COPD,chronic obstructive pulmonary disease,,https://en.wikipedia.org/wiki/Chronic_obstructive_pulmonary_disease
COS,controlled ovarian stimulation,,https://en.wikipedia.org/wiki/Controlled_ovarian_hyperstimulation
COVID-19,Coronavirus disease 2019,,https://en.wikipedia.org/wiki/Coronavirus_disease_2019
COWS,clinical opiate withdrawal scale,,
COX-2,cyclooxygenase 2 inhibitors,,https://en.wikipedia.org/wiki/Cyclooxygenase
CP,cerebral palsy,,https://en.wikipedia.org/wiki/Cerebral_palsy
CP,chest pain,,https://en.wikipedia.org/wiki/Chest_pain
CP,cleft palate,,https://en.wikipedia.org/wiki/Cleft_lip_and_cleft_palate#Cleft_palate
CPAP,continuous positive airway pressure,,https://en.wikipedia.org/wiki/Continuous_positive_airway_pressure
CPE,cytopathic effect,,https://en.wikipedia.org/wiki/Cytopathic_effect
CPG,Clinical Practice Guideline,,https://en.wikipedia.org/wiki/CPG
CPHSS,Cincinnati Prehospital Stroke Scale,,https://en.wikipedia.org/wiki/Cincinnati_Prehospital_Stroke_Scale
CPK,creatine phosphokinase,,https://en.wikipedia.org/wiki/Creatine_kinase
CPM,continuous passive motion,,https://en.wikipedia.org/wiki/Continuous_passive_motion
CPNB,continuous peripheral nerve block,,https://en.wikipedia.org/wiki/Nerve_block
CPP,central precocious puberty,,https://en.wikipedia.org/wiki/Precocious_puberty#Central
CPP,cerebral perfusion pressure,,https://en.wikipedia.org/wiki/Cerebral_perfusion_pressure
CPP,chronic pelvic pain,,https://en.wikipedia.org/wiki/Pelvic_pain
CPR,cardiopulmonary resuscitation,,https://en.wikipedia.org/wiki/Cardiopulmonary_resuscitation
CPS,child protective services,,https://en.wikipedia.org/wiki/Child_Protective_Services
CPT,Child‐Pugh‐Turcotte,,https://en.wikipedia.org/wiki/CPT
CPT,Current Procedural Terminology,,https://en.wikipedia.org/wiki/Current_Procedural_Terminology
CPT,chest physiotherapy,,https://en.wikipedia.org/wiki/Chest_physiotherapy
CR,clinical response,,https://en.wikipedia.org/wiki/CR
CR,complete response,,https://en.wikipedia.org/wiki/Clinical_endpoint
CRBBB,complete right bundle branch block,,
CRF,chronic renal failure,,https://en.wikipedia.org/wiki/Chronic_kidney_disease
CRISA,catheterization risk in adult patients,,https://en.wikipedia.org/wiki/CRISA
CRISPR,clustered regularly interspaced short palindromic repeats,,https://en.wikipedia.org/wiki/CRISPR
CRM,cardiac rhythm management,,https://en.wikipedia.org/wiki/Arrhythmia#Management
CRP,C-reactive protein,,https://en.wikipedia.org/wiki/C-reactive_protein
CRPS,complex regional pain syndrome,,https://en.wikipedia.org/wiki/Complex_regional_pain_syndrome
CRRT,continuous renal replacement therapy,,https://en.wikipedia.org/wiki/Hemofiltration
CRS,chronic rhinosinusitis,,https://en.wikipedia.org/wiki/Sinusitis
CRSsNP,chronic rhinosinusitis without nasal polyps,,
CRSwNP,chronic rhinosinusitis with nasal polyps,,
CRT,cardiac resynchronization therapy,,https://en.wikipedia.org/wiki/Cardiac_resynchronization_therapy
CS,Costello syndrome,,https://en.wikipedia.org/wiki/Costello_syndrome
CS-IMRT,carotid-sparing intensity-modulated radiotherapy,,
CSD,cortical spreading depression,,https://en.wikipedia.org/wiki/Cortical_spreading_depression
CSF,cerebrospinal fluid,,https://en.wikipedia.org/wiki/Cerebrospinal_fluid
CSS,cancer-specific survival,,https://en.wikipedia.org/wiki/CSS
CT,computerized tomography,,https://en.wikipedia.org/wiki/CT_scan
CTA,Computed Tomographic Angiography,,https://en.wikipedia.org/wiki/CTA
CTA,clear to auscultation,,https://en.wikipedia.org/wiki/CTA
CTC,circulating tumor cell,,https://en.wikipedia.org/wiki/Circulating_tumor_cell
CTG,cardiotocography,,https://en.wikipedia.org/wiki/Cardiotocography
CTO,chronic total occlusion,,https://en.wikipedia.org/wiki/Coronary_artery_disease#CTO
CTO,coronary total occlusion,,https://en.wikipedia.org/wiki/CTO
CTPA,CT pulmonary angiography,,https://en.wikipedia.org/wiki/CT_pulmonary_angiogram
CTR,chest tube removal,,https://en.wikipedia.org/wiki/CTR
CTS,carpal tunnel syndrome,,https://en.wikipedia.org/wiki/Carpal_tunnel_syndrome
CTV,CT venogram,,https://en.wikipedia.org/wiki/CTV
CTV,clinical target volume,,https://en.wikipedia.org/wiki/CTV
CTX,corticosteroids,,https://en.wikipedia.org/wiki/Corticosteroid
CURB-65,"confusion, BUN, respiration rate, BP, Age 65+",,https://en.wikipedia.org/wiki/CURB-65
CV,cardiovascular,,https://en.wikipedia.org/wiki/Circulatory_system
CVA,cerebrovascular accident,,https://en.wikipedia.org/wiki/Stroke
CVA,costovertebral angle,,https://en.wikipedia.org/wiki/Costovertebral_angle
CVAT,costovertebral angle tenderness,,https://en.wikipedia.org/wiki/Costovertebral_angle_tenderness
CVC,central venous catheter,,https://en.wikipedia.org/wiki/Central_venous_catheter
CVICU,Cardiovascular Intensive Care Unit,,
CVID,common variable immunodeficiency,,https://en.wikipedia.org/wiki/Common_variable_immunodeficiency
CVP,central venous pressure,,https://en.wikipedia.org/wiki/Central_venous_pressure
CVS,cardiovascular system,,https://en.wikipedia.org/wiki/Circulatory_system#Cardiovascular_system
CVS,chorionic villus sampling,,https://en.wikipedia.org/wiki/Chorionic_villus_sampling
CXL,collagen crosslinking,,https://en.wikipedia.org/wiki/CXL
CXR,chest x-ray,,https://en.wikipedia.org/wiki/Chest_radiograph
CYP,cytochrome P450,,https://en.wikipedia.org/wiki/Cytochrome_P450
CYS,Child & Youth Services,,https://en.wikipedia.org/wiki/CYS
CZP,certolizumab pegol,,https://en.wikipedia.org/wiki/Certolizumab_pegol
CaCO3,calcium carbonate,,https://en.wikipedia.org/wiki/Calcium_carbonate
China CDC,Chinese Center for Disease Control and Prevention,,https://en.wikipedia.org/wiki/Chinese_Center_for_Disease_Control_and_Prevention
Cl,chloride,,https://en.wikipedia.org/wiki/Chloride
CoV,Coronavirus,,https://en.wikipedia.org/wiki/Coronavirus
Cr,Creatinine,,https://en.wikipedia.org/wiki/Creatinine
CrCl,Creatinine Clearance,,https://en.wikipedia.org/wiki/Assessment_of_kidney_function
Cx,culture,,https://en.wikipedia.org/wiki/Culture
c/w,consistent with,,https://en.wikipedia.org/wiki/A-side_and_B-side#B/W
cAMP,cyclic adenosine monophosphate,,https://en.wikipedia.org/wiki/Cyclic_adenosine_monophosphate
cDNA,complementary DNA,,https://en.wikipedia.org/wiki/Complementary_DNA
cDNA-AFLP,cDNA-amplified restriction fragment–length polymorphism,,
cSNP,coding single-nucleotide polymorphism,,
ce-CMR,contrast-enhanced cardiac magnetic resonance,,
cfDNA,cell-free DNA,,https://en.wikipedia.org/wiki/Cell-free_DNA
chEVAR,chimney endovascular aneurysm repair,,
