Abbreviation,Meaning,Translation,Wikipedia,Verified
ACL,anterior cruciate ligament,,https://en.wikipedia.org/wiki/Anterior_cruciate_ligament,
ACLS,advanced cardiac life support,,https://en.wikipedia.org/wiki/Advanced_cardiac_life_support,
ACM,arrhythmogenic cardiomyopathy,,https://en.wikipedia.org/wiki/Arrhythmogenic_cardiomyopathy,
ACOG,American College of Obstetricians and Gynecologists,,https://en.wikipedia.org/wiki/American_College_of_Obstetricians_and_Gynecologists,
ACP,American College of Physicians,,https://en.wikipedia.org/wiki/American_College_of_Physicians,
ACR,American College of Radiology,,https://www.acr.org/,
ACR,Anterior Column Realignment,,https://en.wikipedia.org/wiki/ACR,
ACS,Abdominal Compartment Syndrome,,https://en.wikipedia.org/wiki/ACS,
ACS,Administration for Children’s Services,,https://en.wikipedia.org/wiki/ACS,
ACS,American College of Surgeons,,https://en.wikipedia.org/wiki/American_College_of_Surgeons,
ACS,abnormally contracting segments,,https://en.wikipedia.org/wiki/ACS,
ACS,acute coronary syndrome,,https://en.wikipedia.org/wiki/Acute_coronary_syndrome,
ACT,Activating Clotting Time,,https://en.wikipedia.org/wiki/Act,
ACT,assertive community treatment,,https://en.wikipedia.org/wiki/Assertive_community_treatment,
ACTH,adrenocorticotropic hormone,,https://en.wikipedia.org/wiki/Adrenocorticotropic_hormone,
ACV,assist control ventilation,,https://en.wikipedia.org/wiki/ACV,
ACVD,arteriosclerotic cardiovascular disease,,https://en.wikipedia.org/wiki/Atherosclerosis,
AD,Alzheimer's disease,,https://en.wikipedia.org/wiki/Alzheimer%27s_disease,
AD,atopic dermatitis,,https://en.wikipedia.org/wiki/Atopic_dermatitis,
AD,right ear,,https://en.wikipedia.org/wiki/Anno_Domini,
ADA,adenosine deaminase,,https://en.wikipedia.org/wiki/Adenosine_deaminase,
ADD,attention deficit disorder,,https://en.wikipedia.org/wiki/Attention_deficit_hyperactivity_disorder,
ADH,antidiuretic hormone,,https://en.wikipedia.org/wiki/Vasopressin,
ADHD,attention deficit hyperactivity disorder,,https://en.wikipedia.org/wiki/Attention_deficit_hyperactivity_disorder,
ADHF,acute diastolic heart failure,,https://en.wikipedia.org/wiki/Acute_decompensated_heart_failure,
ADL,activities of daily living,,https://en.wikipedia.org/wiki/Activities_of_daily_living,
ADOS-2,"Autism Diagnostic Observation Schedule, Second Edition",,https://en.wikipedia.org/wiki/Autism_Diagnostic_Observation_Schedule,
ADP,adenosine diphosphate,,https://en.wikipedia.org/wiki/Adenosine_diphosphate,
ADR,Artificial Disc Replacement,,https://en.wikipedia.org/wiki/Intervertebral_disc_arthroplasty,
ADR,adverse drug reaction,,https://en.wikipedia.org/wiki/Adverse_drug_reaction,
AE,acute exacerbation,,https://en.wikipedia.org/wiki/AE,
AE,adverse event,,https://en.wikipedia.org/wiki/Adverse_event,
AECOPD,acute exacerbations of chronic obstructive pulmonary disease,,https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease,
AED,anti-epileptic drug,,https://en.wikipedia.org/wiki/AED,
AED,automatic external defibrillator,,https://en.wikipedia.org/wiki/Automated_external_defibrillator,
AET,alternating esotropia,,https://en.wikipedia.org/wiki/Esotropia,
AF,ancillary feature,,https://en.wikipedia.org/wiki/AF,
AFAFP,Amniotic Fluid Alpha-Fetoprotein,,,
AFB,acid fast bacillus,,https://en.wikipedia.org/wiki/Acid-fastness,
AFB,acid fast bacterium,,https://en.wikipedia.org/wiki/AFB,
AFIB,atrial fibrillation,,https://en.wikipedia.org/wiki/Atrial_fibrillation,
AFL,atrial flutter,,https://en.wikipedia.org/wiki/Atrial_flutter,
AFLS,Assessment of Functional Living Skills,,,
AFO,ankle foot orthosis,,https://en.wikipedia.org/wiki/Orthotics#Ankle-foot_orthosis_(AFO),
AFP,alpha-fetoprotein,,https://en.wikipedia.org/wiki/Alpha-fetoprotein,
AFT,Autologous Fat Transfer,,https://en.wikipedia.org/wiki/AFT,
AFV,amniotic fluid volume,,https://en.wikipedia.org/wiki/AFV,
AGA,appropriate for gestational age,,https://en.wikipedia.org/wiki/Prenatal_development#Growth_rate,
AGB,Adjustable Gastric Banding,,https://en.wikipedia.org/wiki/AGB,
AGE,acute gastroenteritis,,https://en.wikipedia.org/wiki/Gastroenteritis,
AH,abductor hallucis,,https://en.wikipedia.org/wiki/Abductor_hallucis_muscle,
AH,alcoholic hepatitis,,https://en.wikipedia.org/wiki/Alcoholic_hepatitis,
AHI,apnea-hypopnea index,,https://en.wikipedia.org/wiki/Apnea%E2%80%93hypopnea_index,
AI,aortic insufficiency,,https://en.wikipedia.org/wiki/Aortic_insufficiency,
AI,apnea index,,https://en.wikipedia.org/wiki/Artificial_intelligence,
AIBV,Avian Infectious Bronchitis Virus,,,
AICD,automatic implantable cardioverter defibrillator,,https://en.wikipedia.org/wiki/AICD,
AIDP,Acute Inflammatory Demyelinating Polyneuropathy,,https://en.wikipedia.org/wiki/Guillain%E2%80%93Barr%C3%A9_syndrome,
AIDS,acquired immune deficiency syndrome,,https://en.wikipedia.org/wiki/HIV/AIDS,
AIED,Autoimmune Inner Ear Disease,,,
AIIRD,autoimmune inflammatory rheumatic disease,,,
AIS,ASIA impairment scale,,https://en.wikipedia.org/wiki/AIS,
AIS,acute ischemic stroke,,https://en.wikipedia.org/wiki/AIS,
AIUM,American Institute of Ultrasound in Medicine,,https://en.wikipedia.org/wiki/American_Institute_of_Ultrasound_in_Medicine,
AJ,ankle jerk,,https://en.wikipedia.org/wiki/Ankle_jerk_reflex,
AJCC,American Joint Committee on Cancer,,https://en.wikipedia.org/wiki/American_Joint_Committee_on_Cancer,
AK,Arcuate keratotomy,,https://en.wikipedia.org/wiki/AK,
AK,above knee,,https://en.wikipedia.org/wiki/AK,
AK,actinic keratosis,,https://en.wikipedia.org/wiki/Actinic_keratosis,
AKA,above knee amputation,,https://en.wikipedia.org/wiki/Amputation#Types,
AKI,acute kidney injury,,https://en.wikipedia.org/wiki/Acute_kidney_injury,
ALA,5-aminolevulinic acid,,https://en.wikipedia.org/wiki/Aminolevulinic_acid,
ALA-PDT,5-aminolevulinic acid-mediated photodynamic therapy,,,
ALD,Assistive Listening Device,,https://en.wikipedia.org/wiki/Assistive_listening_device,
ALDH,aldehyde dehydrogenase,,https://en.wikipedia.org/wiki/Aldehyde_dehydrogenase,
ALF,acute liver failure,,https://en.wikipedia.org/wiki/Acute_liver_failure,
ALI,Acute Limb Ischemia,,https://en.wikipedia.org/wiki/ALI,
ALI,acute lung injury,,https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome,
ALIF,Anterior Lumbar Interbody Fusion,,,
ALK,anaplastic lymphoma kinase,,https://en.wikipedia.org/wiki/Anaplastic_lymphoma_kinase,
ALL,acute lymphocytic leukemia,,https://en.wikipedia.org/wiki/Acute_lymphoblastic_leukemia,
ALL,allergies,,https://en.wikipedia.org/wiki/Allergy,
ALNT,Autologous Lymph Node Transfer,,,
ALP,alkaline phosphatase,,https://en.wikipedia.org/wiki/Alkaline_phosphatase,
ALS,advanced life support,,https://en.wikipedia.org/wiki/Advanced_life_support,
ALS,amyotrophic lateral sclerosis,,https://en.wikipedia.org/wiki/Amyotrophic_lateral_sclerosis,
ALT,alanine aminotransferase,,https://en.wikipedia.org/wiki/Alanine_transaminase,
ALTE,Apparent Life-Threatening Event,,https://en.wikipedia.org/wiki/ALTE,
AMA,advanced maternal age,,https://en.wikipedia.org/wiki/Advanced_maternal_age,
AMA,against medical advice,,https://en.wikipedia.org/wiki/Against_medical_advice,
AMA,antimitochondrial antibody,,https://en.wikipedia.org/wiki/Anti-mitochondrial_antibody,
AMC-BAL,Amsterdam Medical Center bioartificial liver,,,
AMD,aging macular degeneration,,https://en.wikipedia.org/wiki/Advanced_Micro_Devices,
AMH,anti-mullerian hormone,,https://en.wikipedia.org/wiki/Anti-M%C3%BCllerian_hormone,
AMI,acute myocardial infarction,,https://en.wikipedia.org/wiki/Myocardial_infarction,
AML,acute myelogenous leukemia,,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia,
AMLS,advanced medical life support,,https://en.wikipedia.org/wiki/National_Association_of_Emergency_Medical_Technicians,
AMML,acute myelomonocytic leukemia,,https://en.wikipedia.org/wiki/Acute_myelomonocytic_leukemia,
AMP,amphetamine,,https://en.wikipedia.org/wiki/Amphetamine,
AMS,altered mental status,,https://en.wikipedia.org/wiki/Altered_level_of_consciousness,
ANA,antinuclear antibody,,https://en.wikipedia.org/wiki/Anti-nuclear_antibody,
ANC,absolute neutrophil count,,https://en.wikipedia.org/wiki/Absolute_neutrophil_count,
ANED,alive no evidence of disease,,,
ANF,atrial natriuretic factor,,https://en.wikipedia.org/wiki/Atrial_natriuretic_peptide,
ANOVA,analysis of variance,,https://en.wikipedia.org/wiki/Analysis_of_variance,
ANP,atrial natriuretic peptide,,https://en.wikipedia.org/wiki/Atrial_natriuretic_peptide,
AOB,Aortic Occlusion Balloon,,https://en.wikipedia.org/wiki/AOB,
AOB,assignment of benefits,,https://en.wikipedia.org/wiki/AOB,
AOCD,Anemia of Chronic Disease,,https://en.wikipedia.org/wiki/Anemia_of_chronic_disease,
AOD,atlanto-occipital dislocation,,https://en.wikipedia.org/wiki/Atlanto-occipital_dislocation,
AODM,adult-onset diabetes mellitus,,https://en.wikipedia.org/wiki/Type_2_diabetes,
AOM,Acute Otitis Media,,https://en.wikipedia.org/wiki/AOM,
AOT,Assisted Outpatient Treatment,,https://en.wikipedia.org/wiki/AOT,
AP,abdomen/pelvis,,https://en.wikipedia.org/wiki/AP,
AP,anteroposterior,,https://en.wikipedia.org/wiki/Anatomical_terms_of_location#Anterior_and_posterior,
AP,attending physician,,https://en.wikipedia.org/wiki/Attending_physician,
AP-MS,affinity-purification mass spectrometry,,,
APAAP,alkaline phosphatase monoclonal anti-alkaline phosphatase,,,
APAP,acetaminophen,,https://en.wikipedia.org/wiki/Paracetamol,
APAP,autotitrating positive airway pressure,,https://en.wikipedia.org/wiki/APAP,
APC,adenomatous polyposis coli,,https://en.wikipedia.org/wiki/Adenomatous_polyposis_coli,
APC,atrial premature contraction,,https://en.wikipedia.org/wiki/Premature_atrial_contraction,
APCD,advanced pneumatic compression device,,,
APD,Auditory Processing Disorder,,https://en.wikipedia.org/wiki/Auditory_processing_disorder,
APD,Automated Peritoneal Dialysis,,https://en.wikipedia.org/wiki/APD,
APHE,arterial phase hyperenhancement,,https://en.wikipedia.org/wiki/Armor-piercing_shell,
APL,abductor pollicis longus,,https://en.wikipedia.org/wiki/Abductor_pollicis_longus_muscle,
APR,Abdominal Perineal Resection,,https://en.wikipedia.org/wiki/APR,
APRV,airway pressure release ventilation,,https://en.wikipedia.org/wiki/Airway_pressure_release_ventilation,
AQ,aquapheresis,,https://en.wikipedia.org/wiki/Aquapheresis,
AQLQ,Asthma Quality of Life Questionnaire,,,
AR,Allergic Rhinitis,,https://en.wikipedia.org/wiki/AR,
AR,aortic regurgitation,,https://en.wikipedia.org/wiki/Aortic_insufficiency,
ARA,accessory renal arteries,,https://en.wikipedia.org/wiki/ARA,
ARA,arachidonic acid,,https://en.wikipedia.org/wiki/Arachidonic_acid,
ARAG,autosomal recessive agammaglobulinemia,,https://en.wikipedia.org/wiki/ARAG,
ARB,angiotensin II receptor blocker,,https://en.wikipedia.org/wiki/Angiotensin_II_receptor_blocker,
ARDS,acute respiratory distress syndrome,,https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome,
ARF,acute renal failure,,https://en.wikipedia.org/wiki/Acute_kidney_injury,
ARF,acute rheumatic fever,,https://en.wikipedia.org/wiki/Rheumatic_fever,
AROM,artificial rupture of membranes,,https://en.wikipedia.org/wiki/Artificial_rupture_of_membranes,
ART,Antiretroviral Therapy,,https://en.wikipedia.org/wiki/Management_of_HIV/AIDS,
ARV,antiretroviral,,https://en.wikipedia.org/wiki/Management_of_HIV/AIDS,
ARVC,arrhythmogenic right ventricular cardiomyopathy,,https://en.wikipedia.org/wiki/Arrhythmogenic_cardiomyopathy,
ARVD,Arrhythmogenic Right Ventricular Dysplasia,,https://en.wikipedia.org/wiki/Arrhythmogenic_cardiomyopathy,
AS,ankylosing spondylitis,,https://en.wikipedia.org/wiki/Ankylosing_spondylitis,
AS,aortic stenosis,,https://en.wikipedia.org/wiki/Aortic_stenosis,
AS-OCT,anterior segment optical coherence tomography,,,
ASA,American Society of Anesthesiologists,,https://en.wikipedia.org/wiki/American_Society_of_Anesthesiologists,
ASA,acetylsalicylic acid (aspirin),,https://en.wikipedia.org/wiki/ASA,
ASAM,American Society of Addiction Medicine,,https://en.wikipedia.org/wiki/American_Society_of_Addiction_Medicine,
ASCVD,atherosclerotic cardiovascular disease,,https://en.wikipedia.org/wiki/Coronary_artery_disease,
ASD,Adult Spinal Deformity,,https://en.wikipedia.org/wiki/ASD,
ASD,atrial septal defect,,https://en.wikipedia.org/wiki/Atrial_septal_defect,
ASD,autism spectrum disorder,,https://en.wikipedia.org/wiki/Autism_spectrum,
ASHD,arteriosclerotic heart disease,,https://en.wikipedia.org/wiki/Arteriosclerotic_heart_disease,
ASHF,acute systolic heart failure,,,
ASM,airway smooth muscle,,https://en.wikipedia.org/wiki/ASM,
ASMA,Anti Smooth Muscle Antibody,,https://en.wikipedia.org/wiki/ASMA,
ASO,Anterior Segmental Osteotomy,,https://en.wikipedia.org/wiki/ASO,
ASO,Antistreptolysin O,,https://en.wikipedia.org/wiki/Anti-streptolysin_O,
ASRM,American Society for Reproductive Medicine,,https://en.wikipedia.org/wiki/American_Society_for_Reproductive_Medicine,
AST,aspartate aminotransferase,,https://en.wikipedia.org/wiki/Aspartate_transaminase,
ASU,ambulatory surgery unit,,https://en.wikipedia.org/wiki/ASU,
ASVD,Arteriosclerotic Vascular Disease,,https://en.wikipedia.org/wiki/ASVD,
ASVD,atrioventricular septal defect,,https://en.wikipedia.org/wiki/Atrioventricular_septal_defect,
AT,alopecia totalis,,https://en.wikipedia.org/wiki/Alopecia_totalis,
AT,anterior tibial,,https://en.wikipedia.org/wiki/Anterior_tibial,
AT/RT,atypical teratoid/rhabdoid tumor,,https://en.wikipedia.org/wiki/Atypical_teratoid_rhabdoid_tumor,
ATA,atrial tachyarrhythmia,,https://en.wikipedia.org/wiki/ATA,
ATACH,atrial tachycardia,,https://en.wikipedia.org/wiki/Atrial_tachycardia,
ATEC,Autism Treatment Evaluation Checklist,,https://en.wikipedia.org/wiki/Autism_Treatment_Evaluation_Checklist,
ATFL,anterior talofibular ligament,,https://en.wikipedia.org/wiki/Anterior_talofibular_ligament,
ATG,anti-thymocyte globulin,,https://en.wikipedia.org/wiki/Anti-thymocyte_globulin,
ATI,antibodies to Infliximab,,https://en.wikipedia.org/wiki/Ati,
ATK,above the knee,,https://en.wikipedia.org/wiki/ATK,
ATM,Ataxia-Telangiectasia mutation,,https://en.wikipedia.org/wiki/ATM,
ATN,acute tubular necrosis,,https://en.wikipedia.org/wiki/Acute_tubular_necrosis,
ATN,atubular necrosis,,https://en.wikipedia.org/wiki/ATN,
ATOMAC,Arizona-Texas-Oklahoma-Memphis-Arkansas Consortium,,,
ATP,adenosine triphosphate,,https://en.wikipedia.org/wiki/Adenosine_triphosphate,
ATR,achilles tendon rupture,,https://en.wikipedia.org/wiki/Achilles_tendon_rupture,
AU,alopecia universalis,,https://en.wikipedia.org/wiki/Alopecia_universalis,
AUA,American Urological Association,,https://en.wikipedia.org/wiki/American_Urological_Association,
AUC,area under the curve,,https://en.wikipedia.org/wiki/Integral,
AUD,alcohol use disorder,,https://en.wikipedia.org/wiki/Alcoholism,
AUDIT,Alcohol Use Disorders Inventory Test,,,
AUI,Aorto-Uni-Iliac,,https://en.wikipedia.org/wiki/AUI,
AV,arteriovenous,,https://en.wikipedia.org/wiki/Arteriovenous,
AV,atrioventricular,,https://en.wikipedia.org/wiki/Atrioventricular,
AVB,Aortic Valve Bypass,,https://en.wikipedia.org/wiki/Apicoaortic_Conduit,
AVD,atrioventricular dissociation,,https://en.wikipedia.org/wiki/AVD,
AVF,arteriovenous fistula,,https://en.wikipedia.org/wiki/Arteriovenous_fistula,
AVI,automatic volume infusion pump,,,
AVM,arteriovenous malformation,,https://en.wikipedia.org/wiki/Arteriovenous_malformation,
AVN,avascular necrosis,,https://en.wikipedia.org/wiki/Avascular_necrosis,
AVNRT,atrioventricular nodal reentrant tachycardia,,https://en.wikipedia.org/wiki/AV_nodal_reentrant_tachycardia,
AVP,arginine vasopressin,,https://en.wikipedia.org/wiki/Vasopressin,
AVR,aortic valve replacement,,https://en.wikipedia.org/wiki/Aortic_valve_replacement,
AVRMVR,aortic valve repair or replacement mitral valve repair or replacement,,,
AVSS,"afebrile, vital signs stable",,,
AVWS,acquired von Willebrand syndrome,,https://en.wikipedia.org/wiki/Warning_system,
AWL,after weight loss,,https://en.wikipedia.org/wiki/Awl,
AWR,Abdominal Wall Reconstruction,,https://en.wikipedia.org/wiki/AWR,
AXR,abdominal x-ray,,https://en.wikipedia.org/wiki/Abdominal_x-ray,
AXT,alternating exotropia,,https://en.wikipedia.org/wiki/Akita_Airport,
AZA,azathiopurine,,https://en.wikipedia.org/wiki/Phoenix%E2%80%93Mesa_Gateway_Airport,
Abd,abdomen,,https://en.wikipedia.org/wiki/Abdomen,
AdV,adenovirus,,https://en.wikipedia.org/wiki/Adenoviridae,
Afeb,afebrile,,https://en.wikipedia.org/wiki/Human_body_temperature#Fever,
Alb,albumin,,https://en.wikipedia.org/wiki/Albumin,
Alk phos,alkaline phosphatase,,https://en.wikipedia.org/wiki/Alkaline_phosphatase,
Ao,aorta,,https://en.wikipedia.org/wiki/Aorta,
Ax-fem,Axillo‐Femoral,,,
aPTT,activated partial thromboplastin,,https://en.wikipedia.org/wiki/Partial_thromboplastin_time,
aVF,augmented vector foot,,https://en.wikipedia.org/wiki/AVF,
abd gr,abdominal girth,,https://en.wikipedia.org/wiki/Waist,
ac,before meals,,https://en.wikipedia.org/wiki/AC,
amb,ambulate,,https://en.wikipedia.org/wiki/Walking,
amp,ampule,,https://en.wikipedia.org/wiki/Ampoule,
anast,anastomosis,,https://en.wikipedia.org/wiki/Anastomosis,
ant,anterior,,https://en.wikipedia.org/wiki/Anatomical_terms_of_location#Anterior_and_posterior,
