Abbreviation,Meaning,Translation,Wikipedia,Verified
TENS,transcutaneous electrical nerve stimulation,,https://en.wikipedia.org/wiki/Transcutaneous_electrical_nerve_stimulation,
TEP,tumor educated platelet,,https://en.wikipedia.org/wiki/TEP,
TF,tissue factor,,https://en.wikipedia.org/wiki/Tissue_factor,
TFA,transcervical fibroid ablation,,https://en.wikipedia.org/wiki/TFA,
TFCAS,transfemoral carotid artery stenting,,,
TFI,transfemoral intervention,,https://en.wikipedia.org/wiki/TFI,
TFNE,transient focal neurological episode,,,
TG,triglycerides,,https://en.wikipedia.org/wiki/Triglyceride,
TGEV,transmissible gastroenteritis virus,,https://en.wikipedia.org/wiki/Transmissible_gastroenteritis_virus,
TGFβ,transforming growth factor beta,,https://en.wikipedia.org/wiki/Transforming_growth_factor_beta,
TGFβ3,transforming growth factor β3,,"https://en.wikipedia.org/wiki/Transforming_growth_factor,_beta_3",
TGI,tracheal gas insufflation,,https://en.wikipedia.org/wiki/TGI,
THA,total hip arthroplasty,,https://en.wikipedia.org/wiki/Hip_replacement,
THC,tetrahydrocannabinol,,https://en.wikipedia.org/wiki/Tetrahydrocannabinol,
THR,total hip replacement,,https://en.wikipedia.org/wiki/Hip_replacement,
TIA,transient ischemic attack,,https://en.wikipedia.org/wiki/Transient_ischemic_attack,
TIBC,total iron-binding capacity,,https://en.wikipedia.org/wiki/Total_iron-binding_capacity,
TID,three times per day,,https://en.wikipedia.org/wiki/TID,
TIMI,thrombolysis in myocardial infarction,,https://en.wikipedia.org/wiki/TIMI,
TIPS,transjugular intrahepatic portosystemic shunt,,https://en.wikipedia.org/wiki/Transjugular_intrahepatic_portosystemic_shunt,
TIV,tumor in vein,,https://en.wikipedia.org/wiki/Tiv,
TKA,total knee arthroplasty,,https://en.wikipedia.org/wiki/Knee_replacement,
TKI,Tyrosine Kinase Inhibitor,,https://en.wikipedia.org/wiki/TKI,
TKO,to keep open,,https://en.wikipedia.org/wiki/TKO,
TKR,total knee replacement,,https://en.wikipedia.org/wiki/Knee_replacement,
TLH,total laparoscopic hysterectomy,,https://en.wikipedia.org/wiki/TLH,
TLIF,Transforaminal Lumbar Interbody Fusion,,,
TLR,Toll‐like receptors,,https://en.wikipedia.org/wiki/TLR,
TM,tectorial membrane,,https://en.wikipedia.org/wiki/Tectorial_membrane,
TM,transformed migraine,,https://en.wikipedia.org/wiki/TM,
TM,tympanic membrane (eardrum),,https://en.wikipedia.org/wiki/TM,
TMA,transmetatarsal amputation,,https://en.wikipedia.org/wiki/TMA,
TMB,tumor mutational burden,,https://en.wikipedia.org/wiki/TMB,
TMEM43,transmembrane protein 43,,https://en.wikipedia.org/wiki/TMEM43,
TMJ,temporomandibular joint,,https://en.wikipedia.org/wiki/Temporomandibular_joint,
TMN,tuberomammillary nucleus,,https://en.wikipedia.org/wiki/Tuberomammillary_nucleus,
TMP-SMX,trimethoprim-sulfamethoxazole,,https://en.wikipedia.org/wiki/Trimethoprim/sulfamethoxazole,
TMR,Transmyocardial Revascularization,,https://en.wikipedia.org/wiki/TMR,
TMS,transcranial magnetic stimulation,,https://en.wikipedia.org/wiki/Transcranial_magnetic_stimulation,
TN,true negative,,https://en.wikipedia.org/wiki/False_positives_and_false_negatives#true_negative,
TNE,transnasal esophagoscopy,,https://en.wikipedia.org/wiki/Transnasal_esophagoscopy,
TNF,tumor necrosis factor,,https://en.wikipedia.org/wiki/Tumor_necrosis_factor,
TNF-α,tumor necrosis factor alpha,,https://en.wikipedia.org/wiki/Tumor_necrosis_factor,
TNFi,tumor necrosis factor inhibitor,,https://en.wikipedia.org/wiki/TNF_inhibitor,
TNM,Tumor-Node-Metastasis,,https://en.wikipedia.org/wiki/TNM,
TNTC,too numerous to count,,https://en.wikipedia.org/wiki/Tyndale_New_Testament_Commentaries,
TOF,tetralogy of fallot,,https://en.wikipedia.org/wiki/Tetralogy_of_Fallot,
TONIC,treatment of nonalcoholic fatty liver disease in children,,,
TORCH,"Toxoplasmosis, Other (syphilis, varicella-zoster, parvovirus B19), Rubella, Cytomegalovirus (CMV), and Herpes",,,
TP,total protein,,https://en.wikipedia.org/wiki/TP,
TP,true positive,,https://en.wikipedia.org/wiki/False_positives_and_false_negatives#true_positive,
TPA,total parenteral alimentation,,https://en.wikipedia.org/wiki/TPA,
TPE,therapeutic plasma exchange,,https://en.wikipedia.org/wiki/TPE,
TPN,Total Parenteral Nutrition,,https://en.wikipedia.org/wiki/TPN,
TPO,thrombopoietin,,https://en.wikipedia.org/wiki/Thrombopoietin,
TPR,"temperature, pulse, respiration",,https://en.wikipedia.org/wiki/TPR,
TRALI,transfusion-related acute lung injury,,https://en.wikipedia.org/wiki/Transfusion-related_acute_lung_injury,
TRD,tongue retaining device,,https://en.wikipedia.org/wiki/TRD,
TRESK,TWIK-related spinal cord potassium channel,,,
TRI,trans-radial intervention,,https://en.wikipedia.org/wiki/Tri,
TRM,resident memory T,,https://en.wikipedia.org/wiki/TRM,
TRM,tissue-resident memory,,https://en.wikipedia.org/wiki/TRM,
TRP,transient receptor potential,,https://en.wikipedia.org/wiki/Transient_receptor_potential_channel,
TRP,treatment-related pneumonitis,,https://en.wikipedia.org/wiki/TRP,
TRS,transcription regulatory sequence,,https://en.wikipedia.org/wiki/TRS,
TRUS,Transrectal Ultrasound,,https://en.wikipedia.org/wiki/Transrectal_ultrasonography,
TSH,thyroid stimulating hormone,,https://en.wikipedia.org/wiki/Thyroid-stimulating_hormone,
TSS,therapeutic staff support,,https://en.wikipedia.org/wiki/TSS,
TSS-NS,therapeutic staff support non-school,,,
TSS-S,therapeutic staff support in school,,,
TTE,Transthoracic Echocardiogram,,https://en.wikipedia.org/wiki/TTE,
TTF,tumor treating fields,,https://en.wikipedia.org/wiki/Alternating_electric_field_therapy,
TTP,Thrombotic Thrombocytopenic Purpura,,https://en.wikipedia.org/wiki/TTP,
TTP,tender to palpitation,,https://en.wikipedia.org/wiki/TTP,
TTP,tissue tolerable plasmas,,https://en.wikipedia.org/wiki/TTP,
TTS,temporary threshold shift,,https://en.wikipedia.org/wiki/TTS,
TTS,through-the-scope,,https://en.wikipedia.org/wiki/TTS,
TURBT,Transurethral Resection of Bladder Tumor,,https://en.wikipedia.org/wiki/Bladder_cancer#Treatment,
TURP,transurethral resection of prostate gland,,https://en.wikipedia.org/wiki/Transurethral_resection_of_the_prostate,
TVC,true vocal cord,,https://en.wikipedia.org/wiki/Vocal_cords,
TVF,target vessel failure,,https://en.wikipedia.org/wiki/TVF,
TVP,transvenous pacemaker,,https://en.wikipedia.org/wiki/TVP,
TVR,Tricuspid Valve Replacement,,https://en.wikipedia.org/wiki/TVR,
TVUS,Transvaginal Ultrasound,,,
TVV,Tricuspid Valve Valvuloplasty,,https://en.wikipedia.org/wiki/Transvision_Vamp,
TZD,Thiazolidinediones,,https://en.wikipedia.org/wiki/Thiazolidinedione,
Tdap,"tetanus, diptheria, and tetanus",,https://en.wikipedia.org/wiki/DPT_vaccine#Tdap,
Tx,treatment,,https://en.wikipedia.org/wiki/Treatment,
t-EMG,triggered EMG,,,
t-MeHa,tele‐methylhistamine,,,
tMax,temperature maximum,,,
tPA,tissue plasminogen activator,,https://en.wikipedia.org/wiki/Tissue_plasminogen_activator,
tPSA,total prostate specific antigen,,https://en.wikipedia.org/wiki/TPSA,
tSSS,transformed Symptom Severity Score,,,
