Abbreviation,Meaning,Translation,Wikipedia,Verified
LDL-C,ow-density lipoprotein cholesterol,,https://en.wikipedia.org/wiki/Low-density_lipoprotein,
LDLR,low-density lipoprotein receptor,,https://en.wikipedia.org/wiki/LDL_receptor,
LDLT,living donor liver transplantation,,https://en.wikipedia.org/wiki/Liver_transplantation#Living_donor_transplantation,
LDS,Loeyse-Dietz syndrome,,https://en.wikipedia.org/wiki/LDS,
LE,leukocyte esterase,,https://en.wikipedia.org/wiki/Leukocyte_esterase,
LE,lower extremity,,https://en.wikipedia.org/wiki/Human_leg,
LE,lupus erythematosus,,https://en.wikipedia.org/wiki/Lupus_erythematosus,
LECVD,Lower Extremity Chronic Venous Disease,,,
LEF,leflunomide,,https://en.wikipedia.org/wiki/Leflunomide,
LELE,Leading Edge to Leading Edge,,,
LEMG,laryngeal electromyography,,https://en.wikipedia.org/wiki/M%C3%A1laga_Airport,
LES,lower esophageal sphincter,,https://en.wikipedia.org/wiki/Esophagus#Sphincters,
LF,local failure,,https://en.wikipedia.org/wiki/Lf,
LFA-1,lymphocyte function-associated antigen-1,,https://en.wikipedia.org/wiki/Lymphocyte_function-associated_antigen_1,
LFC,lateral femoral condyle,,https://en.wikipedia.org/wiki/Lateral_condyle_of_femur,
LFT,liver function test,,https://en.wikipedia.org/wiki/Liver_function_tests,
LH,Laparoscopic Hysterectomy,,https://en.wikipedia.org/wiki/LH,
LH,luteinizing hormone,,https://en.wikipedia.org/wiki/Luteinizing_hormone,
LHM,laparoscopic Heller myotomy ,,https://en.wikipedia.org/wiki/LHM,
LHRH,luteinizing hormone-releasing hormone,,https://en.wikipedia.org/wiki/Gonadotropin-releasing_hormone,
LIMA,left internal mammary artery,,,
LITT,Laser Interstitial Thermal Therapy,,,
LKP,lamellar keratoplasty,,https://en.wikipedia.org/wiki/LKP,
LLE,left lower extremity,,https://en.wikipedia.org/wiki/Laboratory_for_Laser_Energetics,
LLL,left lower lobe,,https://en.wikipedia.org/wiki/LLL,
LLL,low level laser,,https://en.wikipedia.org/wiki/LLL,
LLQ,left lower quadrant,,https://en.wikipedia.org/wiki/Quadrants_and_regions_of_abdomen,
LM,laparoscopic myomectomy,,https://en.wikipedia.org/wiki/LM,
LM,left main coronary artery,,https://en.wikipedia.org/wiki/Left_coronary_artery,
LMCA,left main coronary artery stenosis,,https://en.wikipedia.org/wiki/Left_coronary_artery,
LMP,last menstrual period,,https://en.wikipedia.org/wiki/Menstruation#Onset_and_frequency,
LMT,left main trunk,,https://en.wikipedia.org/wiki/LMT,
LMWH,Low Molecular Weight Heparin,,https://en.wikipedia.org/wiki/Low-molecular-weight_heparin,
LN,lymph node,,https://en.wikipedia.org/wiki/Lymph_node,
LND,lymph node dissection,,https://en.wikipedia.org/wiki/Lymphadenectomy,
LNF,laparoscopic Nissen fundoplication,,https://en.wikipedia.org/wiki/Nissen_fundoplication,
LOC,level of care,,https://en.wikipedia.org/wiki/Therapy#Levels_of_care,
LOC,level of consciousness,,https://en.wikipedia.org/wiki/Altered_level_of_consciousness,
LOC,loss of consciousness,,https://en.wikipedia.org/wiki/Unconsciousness,
LOCADTR,Level of care for alcohol and drug treatment referral,,,
LOF,loss-of-function,,https://en.wikipedia.org/wiki/Mutation,
LOLA,L-ornithine L-aspartate,,https://en.wikipedia.org/wiki/LOLA,
LOMN,letter of medical necessity,,,
LOS,length of stay,,https://en.wikipedia.org/wiki/Length_of_stay,
LP,lumbar puncture,,https://en.wikipedia.org/wiki/Lumbar_puncture,
LPR,Laryngopharyngeal Reflux,,https://en.wikipedia.org/wiki/Laryngopharyngeal_reflux,
LQTS,long QT syndrome,,https://en.wikipedia.org/wiki/Long_QT_syndrome,
LR,lactated ringer,,https://en.wikipedia.org/wiki/Ringer%27s_lactate_solution,
LR,likelihood ratio,,https://en.wikipedia.org/wiki/Likelihood_function#Likelihood_ratio,
LSD,lysergic acid diethylamide,,https://en.wikipedia.org/wiki/Lysergic_acid_diethylamide,
LSPAF,long-standing persistent atrial fibrillation,,,
LSS,lumbar spinal stenosis,,https://en.wikipedia.org/wiki/Lumbar_spinal_stenosis,
LSV,Long Saphenous Vein,,https://en.wikipedia.org/wiki/LSV,
LT,liver transplantation,,https://en.wikipedia.org/wiki/Liver_transplantation,
LTBI,latent tuberculosis infection,,https://en.wikipedia.org/wiki/Latent_tuberculosis,
LUE,left upper extremity,,https://en.wikipedia.org/wiki/LUE,
LUL,left upper lobe,,,
LUQ,left upper quadrant,,https://en.wikipedia.org/wiki/Quadrants_and_regions_of_abdomen,
LUTS,lower urinary tract symptoms,,https://en.wikipedia.org/wiki/Lower_urinary_tract_symptoms,
LV,left ventricle,,https://en.wikipedia.org/wiki/Ventricle_(heart),
LV,lentivirus,,https://en.wikipedia.org/wiki/Lentivirus,
LV,limb volume,,https://en.wikipedia.org/wiki/LV,
LVAD,left ventricular assist device,,https://en.wikipedia.org/wiki/Ventricular_assist_device,
LVEDP,left ventricular end-diastolic pressure,,,
LVEF,left ventricle ejection fraction,,https://en.wikipedia.org/wiki/Ejection_fraction,
LVH,left ventricular hypertrophy,,https://en.wikipedia.org/wiki/Left_ventricular_hypertrophy,
LVO,Large Vessel Occlusion,,https://en.wikipedia.org/wiki/Royal_Victorian_Order,
LVO,Left Ventricular Opacification,,https://en.wikipedia.org/wiki/Royal_Victorian_Order,
LVOTO,left ventricular outflow tract obstruction,,https://en.wikipedia.org/wiki/Ventricular_outflow_tract_obstruction,
Li-RADS,Liver Imaging Reporting and Data System,,,
logMAR,logarithm of the minimum angle of resolution,,,
