Abbreviation,Meaning,Translation,Wikipedia,Verified
NMDA,N-methyl-D-aspartate,,https://en.wikipedia.org/wiki/N-Methyl-D-aspartic_acid,
NMH,N-methylhistamine,,https://en.wikipedia.org/wiki/Nmh,
NMIBC,non-muscle invasive bladder cancer,,https://en.wikipedia.org/wiki/Bladder_cancer,
NMO,Neuromyelitis Optica,,https://en.wikipedia.org/wiki/NMO,
NMR,nuclear magnetic resonance,,https://en.wikipedia.org/wiki/Nuclear_magnetic_resonance,
NNIS,National Nosocomial Infection Surveillance System,,,
NNT,numbers needed to treat,,https://en.wikipedia.org/wiki/Number_needed_to_treat,
NOAC,non-vitamin K oral anticoagulants,,https://en.wikipedia.org/wiki/Anticoagulant#Types,
NOM,nonoperative management,,https://en.wikipedia.org/wiki/Nom,
NOS,not otherwise specified,,https://en.wikipedia.org/wiki/Not_Otherwise_Specified,
NPH,Normal Pressure Hydrocephalus,,https://en.wikipedia.org/wiki/Normal_pressure_hydrocephalus,
NPH,neutral protamine Hagedorn,,https://en.wikipedia.org/wiki/NPH_insulin,
NPN,non-protein nitrogen,,https://en.wikipedia.org/wiki/Non-protein_nitrogen,
NPO,nothing by mouth,,https://en.wikipedia.org/wiki/Nothing_by_mouth,
NPPV,non-invasive positive pressure ventilation,,https://en.wikipedia.org/wiki/Mechanical_ventilation#Mechanical_ventilators,
NPV,negative predictive value,,https://en.wikipedia.org/wiki/Positive_and_negative_predictive_values,
NPWT,negative pressure wound therapy,,https://en.wikipedia.org/wiki/Negative-pressure_wound_therapy,
NRB,non-rebreather mask,,https://en.wikipedia.org/wiki/Non-rebreather_mask,
NRI,net reclassification improvement,,https://en.wikipedia.org/wiki/Net_reclassification_improvement,
NS,Noonan Syndrome,,https://en.wikipedia.org/wiki/Noonan_syndrome,
NS,normal saline,,https://en.wikipedia.org/wiki/Saline_(medicine),
NSAID,nonsteroidal antiinflammatory drug(s),,https://en.wikipedia.org/wiki/Nonsteroidal_anti-inflammatory_drug,
NSCLC,non-small cell lung cancer,,https://en.wikipedia.org/wiki/Non-small-cell_lung_carcinoma,
NSML,Noonan syndrome with multiple lentigines,,https://en.wikipedia.org/wiki/Noonan_syndrome_with_multiple_lentigines,
NSQIP,National Surgical Quality Improvement Program,,https://en.wikipedia.org/wiki/National_Surgical_Quality_Improvement_Program,
NSR,normal sinus rhythm,,https://en.wikipedia.org/wiki/Sinus_rhythm,
NST,Non-Stress Test,,https://en.wikipedia.org/wiki/Cardiotocography,
NSTEMI,non-ST elevation myocardial infarction,,https://en.wikipedia.org/wiki/Myocardial_infarction#NSTEMI,
NSVT,non-sustained ventricular tachycardia,,https://en.wikipedia.org/wiki/Ventricular_tachycardia#Classification,
NT,non-tender,,https://en.wikipedia.org/wiki/Major_League_Baseball_transactions#Free_agency_and_salary_arbitration,
NT1,narcolepsy type 1,,https://en.wikipedia.org/wiki/NT1,
NTD,neural tube defect,,https://en.wikipedia.org/wiki/Neural_tube_defect,
NTG,nitroglycerin,,https://en.wikipedia.org/wiki/Nitroglycerin,
NTM,nontuberculous mycobacteria,,https://en.wikipedia.org/wiki/Nontuberculous_mycobacteria,
NVAF,non-valvular atrial fibrillation,,https://en.wikipedia.org/wiki/Atrial_fibrillation,
NW,normal weight,,https://en.wikipedia.org/wiki/Body_mass_index,
NWB,non-weight bearing,,https://en.wikipedia.org/wiki/NWB,
NXG,Necrobiotic xanthogranuloma,,https://en.wikipedia.org/wiki/Necrobiotic_xanthogranuloma,
NYHA,New York Heart Association,,https://en.wikipedia.org/wiki/New_York_Heart_Association_Functional_Classification,
Na,sodium,,https://en.wikipedia.org/wiki/Sodium,
nAMD,neovascular age-related macular degeneration,,https://en.wikipedia.org/wiki/NAMD,
nCoV,Novel Coronavirus,,https://en.wikipedia.org/wiki/Novel_coronavirus,
nl,normal,,https://en.wikipedia.org/wiki/Normal,
