Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
ASVD,atrioventricular septal defect,房室间隔缺损,https://en.wikipedia.org/wiki/Atrioventricular_septal_defect,,
AT,alopecia totalis,总体脱发,https://en.wikipedia.org/wiki/Alopecia_totalis,,
AT,anterior tibial,胫骨前,https://en.wikipedia.org/wiki/Anterior_tibial,,
AT/RT,atypical teratoid/rhabdoid tumor,非典型畸胎横纹肌样瘤,https://en.wikipedia.org/wiki/Atypical_teratoid_rhabdoid_tumor,,
ATA,atrial tachyarrhythmia,房性心律失常,,,
ATACH,atrial tachycardia,心房性心动过速,https://en.wikipedia.org/wiki/Atrial_tachycardia,,
ATEC,Autism Treatment Evaluation Checklist,自闭症治疗评估清单,https://en.wikipedia.org/wiki/Autism_Treatment_Evaluation_Checklist,,
ATFL,anterior talofibular ligament,距前腓韧带,https://en.wikipedia.org/wiki/Anterior_talofibular_ligament,,
ATG,anti-thymocyte globulin,抗胸腺细胞球蛋白,https://en.wikipedia.org/wiki/Anti-thymocyte_globulin,,
ATI,antibodies to Infliximab,英夫利昔单抗抗体,,,
ATK,above the knee,膝盖以上,,,
ATM,Ataxia-Telangiectasia mutation,共济失调-毛细血管扩张突变,,,
ATN,acute tubular necrosis,急性肾小管坏死,https://en.wikipedia.org/wiki/Acute_tubular_necrosis,,
ATN,atubular necrosis,肾小管坏死,,,
ATOMAC,Arizona-Texas-Oklahoma-Memphis-Arkansas Consortium,亚利桑那州-得克萨斯州-俄克拉荷马州-孟菲斯-阿肯色州联盟,,,
ATP,adenosine triphosphate,三磷酸腺苷,https://en.wikipedia.org/wiki/Adenosine_triphosphate,,
ATR,achilles tendon rupture,跟腱断裂,https://en.wikipedia.org/wiki/Achilles_tendon_rupture,,
AU,alopecia universalis,普遍性脱发,https://en.wikipedia.org/wiki/Alopecia_universalis,,
AUA,American Urological Association,美国泌尿科协会,https://en.wikipedia.org/wiki/American_Urological_Association,,
AUC,area under the curve,积分,https://en.wikipedia.org/wiki/Integral,,
AUD,alcohol use disorder,酗酒,https://en.wikipedia.org/wiki/Alcoholism,,
AUDIT,Alcohol Use Disorders Inventory Test,酒精使用障碍量表测试,,,
AUI,Aorto-Uni-Iliac,伊利亚克,,,
AV,arteriovenous,动静脉,https://en.wikipedia.org/wiki/Arteriovenous,,
AV,atrioventricular,房室,https://en.wikipedia.org/wiki/Atrioventricular,,
AVB,Aortic Valve Bypass,主动脉瓣旁路,https://en.wikipedia.org/wiki/Apicoaortic_Conduit,,
AVD,atrioventricular dissociation,房室解离,,,
AVF,arteriovenous fistula,动静脉瘘,https://en.wikipedia.org/wiki/Arteriovenous_fistula,,
AVI,automatic volume infusion pump,自动容积输液泵,,,
AVM,arteriovenous malformation,动静脉畸形,https://en.wikipedia.org/wiki/Arteriovenous_malformation,,
AVN,avascular necrosis,无血管坏死,https://en.wikipedia.org/wiki/Avascular_necrosis,,
AVNRT,atrioventricular nodal reentrant tachycardia,房室结折返性心动过速,https://en.wikipedia.org/wiki/AV_nodal_reentrant_tachycardia,,
AVP,arginine vasopressin,抗利尿激素,https://en.wikipedia.org/wiki/Vasopressin,,
AVR,aortic valve replacement,主动脉瓣置换,https://en.wikipedia.org/wiki/Aortic_valve_replacement,,
AVRMVR,aortic valve repair or replacement mitral valve repair or replacement,主动脉瓣修复或置换二尖瓣修复或置换,,,
AVSS,"afebrile, vital signs stable",发热，生命体征稳定,,,
AVWS,acquired von Willebrand syndrome,获得性von Willebrand综合征,,,
AWL,after weight loss,减肥后,,,
AWR,Abdominal Wall Reconstruction,腹壁重建,,,
AXR,abdominal x-ray,腹部X射线,https://en.wikipedia.org/wiki/Abdominal_x-ray,,
AXT,alternating exotropia,交替性外斜视,,,
AZA,azathiopurine,硫唑嘌呤,,,
Abd,abdomen,腹,https://en.wikipedia.org/wiki/Abdomen,,
AdV,adenovirus,腺病毒,https://en.wikipedia.org/wiki/Adenoviridae,,
Afeb,afebrile,人体温度,https://en.wikipedia.org/wiki/Human_body_temperature#Fever,,
Alb,albumin,白蛋白,https://en.wikipedia.org/wiki/Albumin,,
Alk phos,alkaline phosphatase,碱性磷酸酶,https://en.wikipedia.org/wiki/Alkaline_phosphatase,,
Ao,aorta,主动脉,https://en.wikipedia.org/wiki/Aorta,,
AutoPAP,automatic titrating positive airway pressure,自动滴定气道正压,,,
Ax-fem,Axillo‐Femoral,轴索股,,,
aCGH,array comparative genomic hybridization,比较基因组杂交,https://en.wikipedia.org/wiki/Comparative_genomic_hybridization#Array-CGH,,
aPTT,activated partial thromboplastin,活化的部分凝血活酶,https://en.wikipedia.org/wiki/Partial_thromboplastin_time,,
aVF,augmented vector foot,增强矢量足,,,
abd gr,abdominal girth,腰,https://en.wikipedia.org/wiki/Waist,,
ac,before meals,吃饭前,,,
amb,ambulate,步行,https://en.wikipedia.org/wiki/Walking,,
amp,ampule,安瓿,https://en.wikipedia.org/wiki/Ampoule,,
anast,anastomosis,吻合,https://en.wikipedia.org/wiki/Anastomosis,,
ant,anterior,人体解剖学方位,https://en.wikipedia.org/wiki/Anatomical_terms_of_location#Anterior_and_posterior,,
B-ALL,B-cell acute lymphoblastic leukemia,急性淋巴性白血病,https://en.wikipedia.org/wiki/Acute_lymphoblastic_leukemia,,
BA,blood alcohol,血液酒精浓度,https://en.wikipedia.org/wiki/Blood_alcohol_content,,
BAC,blood alcohol concentration,血液酒精浓度,https://en.wikipedia.org/wiki/Blood_alcohol_content,,
BAHA,Bone Anchored Hearing Aid,骨锚式助听器,https://en.wikipedia.org/wiki/Bone-anchored_hearing_aid,,
BAK,benzalkonium chloride,苯扎氯铵,https://en.wikipedia.org/wiki/Benzalkonium_chloride,,
BAL,blood alcohol level,血液酒精浓度,https://en.wikipedia.org/wiki/Blood_alcohol_content,,
BAL,bronchoalveolar lavage,支气管肺泡灌洗,https://en.wikipedia.org/wiki/Bronchoalveolar_lavage,,
BB-AVF,brachiobasilic arteriovenous fistula,腕肱动静脉瘘,,,
BBB,blood-brain barrier,血脑屏障,https://en.wikipedia.org/wiki/Blood%E2%80%93brain_barrier,,
BBB,bundle branch block,束支传导阻滞,https://en.wikipedia.org/wiki/Bundle_branch_block,,
BCBA,board-certified behavior analyst,董事会认证的行为分析师,,,
BCC,basal cell carcinoma,基底细胞癌,https://en.wikipedia.org/wiki/Basal-cell_carcinoma,,
BCG,Bacillus Calmette-Guerin,卡介苗,https://en.wikipedia.org/wiki/BCG_vaccine,,
BCL,bandage contact lens,隐形眼镜,https://en.wikipedia.org/wiki/Contact_lens#Therapeutic_soft_lenses,,
BCP,birth control pills,避孕药,https://en.wikipedia.org/wiki/Oral_contraceptive_pill,,
BCRL,breast cancer-related lymphedema,乳腺癌相关淋巴水肿,,,
BCS,breast-conserving surgery,保乳手术,https://en.wikipedia.org/wiki/Breast-conserving_surgery,,
