Abbreviation,Meaning,Translation,Wikipedia,Verified
PED,Persistent Epithelial Defect,,https://en.wikipedia.org/wiki/PED,
PED,paroxysmal exercise-induced dyskinesia,,https://en.wikipedia.org/wiki/PED,
PED,pigment epithelial detachment,,https://en.wikipedia.org/wiki/PED,
PEEK,polyaryletherketone,,https://en.wikipedia.org/wiki/Polyaryletherketone,
PEEP,positive end expiratory pressure,,https://en.wikipedia.org/wiki/Positive_end-expiratory_pressure,
PEF,peak expiratory flow,,https://en.wikipedia.org/wiki/Peak_expiratory_flow,
PEFR,peak expiratory flow rate,,https://en.wikipedia.org/wiki/Peak_expiratory_flow,
PEG,percutaneous endoscopic gastrostomy,,https://en.wikipedia.org/wiki/Percutaneous_endoscopic_gastrostomy,
PEG,polyethylene-glycol,,https://en.wikipedia.org/wiki/PEG,
PEMS,Poult Enteritis and Mortality Syndrome,,https://en.wikipedia.org/wiki/Portable_emissions_measurement_system,
PEP,positive expiratory pressure,,https://en.wikipedia.org/wiki/Positive_airway_pressure,
PERRL,pupils equal round and reactive to light,,,
PERRLA,"pupils equal, round, and reactive to light and accommodation",,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_P,
PERS,personal emergency response system,,https://en.wikipedia.org/wiki/PERS,
PET,positron emission tomography,,https://en.wikipedia.org/wiki/Positron_emission_tomography,
PEth,phosphatidylethanol,,https://en.wikipedia.org/wiki/Phosphatidylethanol,
PF,peak flow,,https://en.wikipedia.org/wiki/Peak_expiratory_flow,
PFD,pediatric feeding disorder,,https://en.wikipedia.org/wiki/PFD,
PFG,patient focus group,,https://en.wikipedia.org/wiki/PFG,
PFH,plasma-free hemoglobin,,,
PFO,patent foramen ovale,,https://en.wikipedia.org/wiki/Atrial_septal_defect#Patent_foramen_ovale,
PFPT,pelvic floor physical therapy,,,
PFS,progression-free survival,,https://en.wikipedia.org/wiki/Progression-free_survival,
PFT,pulmonary function test,,https://en.wikipedia.org/wiki/Pulmonary_function_testing,
PFU,plaque-forming unit,,https://en.wikipedia.org/wiki/Plaque-forming_unit,
PGCG,peripheral giant cell granuloma,,https://en.wikipedia.org/wiki/Peripheral_giant-cell_granuloma,
PGD,preimplantation genetic diagnosis,,https://en.wikipedia.org/wiki/Preimplantation_genetic_diagnosis,
PGS,preimplantation genetic screening,,https://en.wikipedia.org/wiki/Preimplantation_genetic_diagnosis,
PGT,Preimplantation Genetic Testing,,https://en.wikipedia.org/wiki/PGT,
PGT-A,Preimplantation Genetic Testing for Aneuploidy,,,
PHEIC,Public Health Emergency of International Concern,,https://en.wikipedia.org/wiki/Public_Health_Emergency_of_International_Concern,
PHI,Prostate Health Index,,,
PHMM,posterior horn of the medial meniscus,,,
PHP,partial hospitalization program,,https://en.wikipedia.org/wiki/Partial_hospitalization,
PHQ,patient health questionnaire,,https://en.wikipedia.org/wiki/Patient_Health_Questionnaire,
PHV,percutaneously implanted heart valve,,https://en.wikipedia.org/wiki/PHV,
PI,pneumatosis intestinalis,,https://en.wikipedia.org/wiki/Pneumatosis_intestinalis,
PICC,peripherally inserted central catheter,,https://en.wikipedia.org/wiki/Peripherally_inserted_central_catheter,
PICO,"population, intervention, comparator, and outcomes",,https://en.wikipedia.org/wiki/PICO,
PICU,pediatric intensive care unit,,https://en.wikipedia.org/wiki/Pediatric_intensive_care_unit,
PID,pelvic inflammatory disease,,https://en.wikipedia.org/wiki/Pelvic_inflammatory_disease,
PID,primary immunodeficiency,,https://en.wikipedia.org/wiki/Primary_immunodeficiency,
PIDD,primary immunodeficiency disease,,https://en.wikipedia.org/wiki/Primary_immunodeficiency,
PIP,penile improvement protocol,,https://en.wikipedia.org/wiki/Pip,
PIVENS,Pioglitazone versus Vitamin E versus Placebo for the Treatment of Non-diabetic patients with Nonalcoholic steatohepatitis,,,
PK,pharmacokinetic,,https://en.wikipedia.org/wiki/Pharmacokinetics,
PKD,paroxysmal kinesigenic dyskinesia,,https://en.wikipedia.org/wiki/Paroxysmal_kinesigenic_choreoathetosis,
PKD,polycystic kidney disease,,https://en.wikipedia.org/wiki/Polycystic_kidney_disease,
PKP,penetrating keratoplasty,,https://en.wikipedia.org/wiki/Corneal_transplantation,
PKR,Partial Knee Replacement,,https://en.wikipedia.org/wiki/Unicompartmental_knee_arthroplasty,
PKU,phenylketonuria,,https://en.wikipedia.org/wiki/Phenylketonuria,
PLEX,plasma exchange,,https://en.wikipedia.org/wiki/Plasmapheresis,
PLIF,Posterior Lumbar Interbody Fusion,,https://en.wikipedia.org/wiki/PLIF,
PLN,phospholamban,,https://en.wikipedia.org/wiki/Phospholamban,
PLP,pyridoxal phosphate,,https://en.wikipedia.org/wiki/Pyridoxal_phosphate,
PLS-5,"Preschool Language Scale, Fifth edition",,,
PLT,platelets,,https://en.wikipedia.org/wiki/Platelet,
PMA,pilomyxoid astrocytoma,,https://en.wikipedia.org/wiki/PMA,
PMAT,plasma membrane monoamine transporter,,https://en.wikipedia.org/wiki/Plasma_membrane_monoamine_transporter,
PMC,polymer-matrix composites,,https://en.wikipedia.org/wiki/PMC,
PMDB,Prescription Monitoring Database,,https://en.wikipedia.org/wiki/Brazilian_Democratic_Movement,
PMH,past medical history,,https://en.wikipedia.org/wiki/Past_medical_history,
PMI,point of maximum impulse (of the heart),,https://en.wikipedia.org/wiki/PMI,
PMN,Polymorphonuclear Leukocyte,,https://en.wikipedia.org/wiki/PMN,
PMO,phosphorodiamidate morpholino oligomer,,https://en.wikipedia.org/wiki/Morpholino,
PMP,pyridoxamine phosphate,,https://en.wikipedia.org/wiki/Pyridoxamine,
PNA,pneumonia,,https://en.wikipedia.org/wiki/Pneumonia,
PND,postnasal drainage,,https://en.wikipedia.org/wiki/PND,
PNET,primitive neuroectodermal tumor,,https://en.wikipedia.org/wiki/Primitive_neuroectodermal_tumor,
PNH,Paroxysmal Nocturnal Hemoglobinuria,,https://en.wikipedia.org/wiki/PNH,
PNKD,paroxysmal non-kinesigenic dyskinesia,,https://en.wikipedia.org/wiki/PNKD,
PO,by mouth/oral,,https://en.wikipedia.org/wiki/Po,
PO2,partial pressure of oxygen,,https://en.wikipedia.org/wiki/Blood_gas_tension,
POAG,primary open-angle glaucoma,,,
POD,postoperative day,,https://en.wikipedia.org/wiki/POD,
POEM,Per-Oral Endoscopic Myotomy ,,,
POV,Power-Operated Vehicle,,https://en.wikipedia.org/wiki/POV,
PPD,purified protein derivative,,https://en.wikipedia.org/wiki/Tuberculin,
PPE,personal protective equipment,,https://en.wikipedia.org/wiki/Personal_protective_equipment,
PPH,Procedure for Prolapsed Hemorrhoids,,https://en.wikipedia.org/wiki/PPH,
PPI,protein-protein interaction,,https://en.wikipedia.org/wiki/Protein%E2%80%93protein_interaction,
PPI,proton pump inhibitor,,https://en.wikipedia.org/wiki/Proton-pump_inhibitor,
PPM,permanent pacemaker,,https://en.wikipedia.org/wiki/Artificial_cardiac_pacemaker,
PPROM,preterm premature rupture of membranes,,https://en.wikipedia.org/wiki/Prelabor_rupture_of_membranes,
PPS,posterior probability of superiority,,https://en.wikipedia.org/wiki/PPS,
PPV,positive predictive value,,https://en.wikipedia.org/wiki/Positive_and_negative_predictive_values,
PR,platelet reactivity,,https://en.wikipedia.org/wiki/PR,
PR,progesterone receptor,,https://en.wikipedia.org/wiki/Progesterone_receptor,
PRBC,packed red blood cells,,https://en.wikipedia.org/wiki/Packed_red_blood_cells,
PRCoV,porcine respiratory coronavirus,,,
PRI,Patient Review Instrument,,https://en.wikipedia.org/wiki/PRI,
PRISMA,Preferred Reporting Items for Systematic Reviews and Meta-Analyses,,https://en.wikipedia.org/wiki/Preferred_Reporting_Items_for_Systematic_Reviews_and_Meta-Analyses,
PRK,photorefractive keratectomy,,https://en.wikipedia.org/wiki/Photorefractive_keratectomy,
PRN,as needed,,https://en.wikipedia.org/wiki/PRN,
PROM,premature rupture of membranes,,https://en.wikipedia.org/wiki/Prelabor_rupture_of_membranes,
PRRT2,Proline Rich Transmembrane Protein 2,,https://en.wikipedia.org/wiki/PRRT2,
PRV,planning at-risk volume,,https://en.wikipedia.org/wiki/PRV,
PS,Parkinsonian syndromes,,https://en.wikipedia.org/wiki/PS,
PS,pressure support,,https://en.wikipedia.org/wiki/Pressure_support_ventilation,
PSA,prostate specific antigen,,https://en.wikipedia.org/wiki/Prostate-specific_antigen,
PSC,primary sclerosing cholangitis,,https://en.wikipedia.org/wiki/Primary_sclerosing_cholangitis,
PSG,polysomnogram,,https://en.wikipedia.org/wiki/Polysomnography,
PSH,past surgical history,,https://en.wikipedia.org/wiki/Medical_history#Process,
PSI,pneumonia severity index,,https://en.wikipedia.org/wiki/Pneumonia_severity_index,
PSM,positive surgical margins,,https://en.wikipedia.org/wiki/PSM,
PSP,progressive supranuclear palsy,,https://en.wikipedia.org/wiki/Progressive_supranuclear_palsy,
PSPT,passive scattering proton therapy,,,
PSV,pressure support ventilation,,https://en.wikipedia.org/wiki/Pressure_support_ventilation,
PSW,penoscrotal webbing,,https://en.wikipedia.org/wiki/PSW,
PT,physical therapy,,https://en.wikipedia.org/wiki/Physical_therapy,
PT,prothrombin time,,https://en.wikipedia.org/wiki/Prothrombin_time,
PTA,Percutaneous Transluminal Angioplasty,,https://en.wikipedia.org/wiki/Angioplasty,
PTA,peritonsillar abscess,,https://en.wikipedia.org/wiki/Peritonsillar_abscess,
PTA,prior to admission,,https://en.wikipedia.org/wiki/PTA,
PTA,pure-tone average,,https://en.wikipedia.org/wiki/PTA,
PTCA,Percutaneous Transluminal Coronary Angioplasty,,https://en.wikipedia.org/wiki/Percutaneous_coronary_intervention,
PTE,pulmonary thromboembolism,,https://en.wikipedia.org/wiki/PTE,
PTEN,phosphatase and tensin homolog,,https://en.wikipedia.org/wiki/PTEN_(gene),
PTFE,polytetrafluoroethylene,,https://en.wikipedia.org/wiki/Polytetrafluoroethylene,
PTH,parathyroid hormone,,https://en.wikipedia.org/wiki/Parathyroid_hormone,
PTHrP,parathyroid hormone-related protein,,https://en.wikipedia.org/wiki/Parathyroid_hormone-related_protein,
PTK,phototherapeutic keratectomy,,https://en.wikipedia.org/wiki/Phototherapeutic_keratectomy,
PTP,protein tyrosine phosphatase,,https://en.wikipedia.org/wiki/Protein_tyrosine_phosphatase,
PTS,Parsonage-Turner syndrome,,https://en.wikipedia.org/wiki/Parsonage%E2%80%93Turner_syndrome,
PTSD,post traumatic stress disorder,,https://en.wikipedia.org/wiki/Post-traumatic_stress_disorder,
PTT,partial thromboplastin time,,https://en.wikipedia.org/wiki/Partial_thromboplastin_time,
PTV,planning target volume,,https://en.wikipedia.org/wiki/PTV,
PUD,peptic ulcer disease,,https://en.wikipedia.org/wiki/Peptic_ulcer_disease,
PUP,previously untreated patient,,https://en.wikipedia.org/wiki/PUP,
PUVA,psoralen and ultraviolet A,,https://en.wikipedia.org/wiki/PUVA_therapy,
PV,pressure-volume,,https://en.wikipedia.org/wiki/PV,
PV,pulmonary vein,,https://en.wikipedia.org/wiki/Pulmonary_vein,
PVC,premature ventricular contraction,,https://en.wikipedia.org/wiki/Premature_ventricular_contraction,
PVD,peripheral vascular disease,,https://en.wikipedia.org/wiki/Peripheral_artery_disease,
PVI,pulmonary vein isolation,,https://en.wikipedia.org/wiki/PVI,
PVL,Periventricular Leukomalacia,,https://en.wikipedia.org/wiki/PVL,
PVP-I,povidone-iodine,,https://en.wikipedia.org/wiki/Povidone-iodine,
PVR,postvoid residual urine volume,,https://en.wikipedia.org/wiki/PVR,
PVR,pulse volume recording,,https://en.wikipedia.org/wiki/PVR,
PVS,pulmonary vein stenosis,,https://en.wikipedia.org/wiki/Pulmonary_vein_stenosis,
PW,posterior wall,,https://en.wikipedia.org/wiki/Posterior_wall,
PWC,Power Wheelchair,,https://en.wikipedia.org/wiki/PWC,
PWS,Prader-Willi syndrome,,https://en.wikipedia.org/wiki/Prader%E2%80%93Willi_syndrome,
Pi,inorganic phosphate,,https://en.wikipedia.org/wiki/Phosphate#Biochemistry_of_phosphates,
PiB-PET,Pittsburgh compound B-positron emission tomography ,,,
PpIX,protoporphyrin IX,,https://en.wikipedia.org/wiki/Protoporphyrin_IX,
PsA,psoriatic arthritis,,https://en.wikipedia.org/wiki/Psoriatic_arthritis,
Pt,patient,,https://en.wikipedia.org/wiki/Patient,
pBNP,NT-Pro B-Type Natriuretic Peptide,,,
pCO2,partial pressure of carbon dioxide,,https://en.wikipedia.org/wiki/PCO2,
pJIA,polyarticular Juvenile Idiopathic Arthritis,,,
pPCI,primary percutaneous coronary intervention,,https://en.wikipedia.org/wiki/Percutaneous_coronary_intervention,
