Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
BP,benzoyl peroxide,过氧化苯甲酰,https://en.wikipedia.org/wiki/Benzoyl_peroxide,,
BP,blood pressure,血压,https://en.wikipedia.org/wiki/Blood_pressure,,
BPD,borderline personality disorder,边缘性人格障碍,https://en.wikipedia.org/wiki/Borderline_personality_disorder,,
BPD,bronchopulmonary dysplasia,支气管肺发育不良,https://en.wikipedia.org/wiki/Bronchopulmonary_dysplasia,,
BPF,bronchopleural fistula,支气管胸膜瘘,https://en.wikipedia.org/wiki/Bronchopleural_fistula,,
BPG,bypass graft,旁路移植,https://en.wikipedia.org/wiki/Graft_(surgery)#Vascular_grafting,,
BPH,benign prostatic hyperplasia,良性前列腺增生症,https://en.wikipedia.org/wiki/Benign_prostatic_hyperplasia,,
BPHII,BPH Impact Index,BPH影响指数,,,
BPHTN,blood pressure hypertension,血压高血压,,,
BPLT,BAK-preserved latanoprost-timolol,BAK保存的拉坦前列素-泰莫洛尔,,,
BPM,beats per minute,速度 (音乐),https://en.wikipedia.org/wiki/Tempo,,
BPP,biophysical profile,生物物理特征,https://en.wikipedia.org/wiki/Biophysical_profile,,
BR,bed rest,卧床休息,https://en.wikipedia.org/wiki/Bed_rest,,
BRAT,"bananas, rice, apple sauce, and toast (or tea)",香蕉，米饭，苹果酱和烤面包（或茶）,,,
BRB,bright red blood,鲜红色的血,,,
BRBPR,bright red blood per rectum,便血,https://en.wikipedia.org/wiki/Hematochezia,,
BRRB,bright red rectal bleeding,明亮的红色直肠出血,,,
BRUE,brief resolved unexplained event,简短的无法解释的事件,https://en.wikipedia.org/wiki/Brief_resolved_unexplained_event,,
BS,blood sugar,血糖,https://en.wikipedia.org/wiki/Blood_sugar_level,,
BS,bowel sounds,肠鸣音,https://en.wikipedia.org/wiki/Stomach_rumble,,
BS,breath sounds,呼吸音,https://en.wikipedia.org/wiki/Respiratory_sounds,,
BSA,body surface area,体表面积,https://en.wikipedia.org/wiki/Body_surface_area,,
BSAP,bone specific alkaline phosphatase,碱性磷酸酶,https://en.wikipedia.org/wiki/Alkaline_phosphatase,,
BSC,behavioral specialist consultant,行为专家顾问,,,
BSO,bilateral salpingo-oophorectomy,双侧输卵管卵巢切除术,https://en.wikipedia.org/wiki/Oophorectomy,,
BSSO,Bilateral Sagittal Split Osteotomy,双侧矢状劈开截骨术,,,
BT,blood transfusion,输血,https://en.wikipedia.org/wiki/Blood_transfusion,,
BT,bronchial thermoplasty,支气管热成形术,https://en.wikipedia.org/wiki/Bronchial_thermoplasty,,
BTA,botulinum toxin A,肉毒杆菌毒素,https://en.wikipedia.org/wiki/Botulinum_toxin,,
BTK,below the knee,膝盖以下,,,
BUN,blood urea nitrogen,尿素氮,https://en.wikipedia.org/wiki/Blood_urea_nitrogen,,
BV,bacterial vaginosis,细菌性阴道病,https://en.wikipedia.org/wiki/Bacterial_vaginosis,,
BVAB,bacterial vaginosis-associated bacteria,细菌性阴道病相关细菌,,,
BVD,bilateral vestibular dysfunction,双侧前庭功能障碍,,,
BVN,basivertebral nerve,基底椎神经,,,
BiPAP,bi-level positive airway pressure,正压呼吸器,https://en.wikipedia.org/wiki/Positive_airway_pressure,,
BoNT,botulinum neurotoxin,肉毒杆菌毒素,https://en.wikipedia.org/wiki/Botulinum_toxin,,
Bx,biopsy,活体组织切片,https://en.wikipedia.org/wiki/Biopsy,,
bEVAR,branched endovascular aneurysm repair,分支血管内动脉瘤修复,,,
