Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
ICM,ischemic cardiomyopathy,缺血性心肌病,https://en.wikipedia.org/wiki/Ischemic_cardiomyopathy,,
ICP,Intracranial Pressure,颅内压,,,
ICP,intracranial pressure,颅内压,https://en.wikipedia.org/wiki/Intracranial_pressure,,
ICPP,idiopathic central precocious puberty,特发性中枢性性早熟,,,
ICR,insulin-to-carbohydrate ratio,胰岛素与碳水化合物的比率,,,
ICS,International Continence Society,国际节制学会,https://en.wikipedia.org/wiki/International_Continence_Society,,
ICS,inhaled corticosteroids,皮质类固醇,https://en.wikipedia.org/wiki/Corticosteroid,,
ICSI,intracytoplasmic sperm injection,胞浆内精子注射,https://en.wikipedia.org/wiki/Intracytoplasmic_sperm_injection,,
ICU,intensive care unit,重症监护室,https://en.wikipedia.org/wiki/Intensive_care_unit,,
ID,infectious disease(s),传染性疾病）,,,
IDDM,insulin-dependent diabetes mellitus,1型糖尿病,https://en.wikipedia.org/wiki/Type_1_diabetes,,
IDE,Investigational Device Exemption,研究器械豁免,https://en.wikipedia.org/wiki/Investigational_device_exemption,,
IDP,intrinsically disordered protein,内在失调的蛋白质,https://en.wikipedia.org/wiki/Intrinsically_disordered_proteins,,
IDSA,Infectious Diseases Society of America,美国传染病学会,https://en.wikipedia.org/wiki/Infectious_Diseases_Society_of_America,,
IDU,intravenous drug use,静脉用药,https://en.wikipedia.org/wiki/Drug_injection,,
IED,intermittent explosive disorder,间歇性爆炸性疾病,https://en.wikipedia.org/wiki/Intermittent_explosive_disorder,,
IFA,immunofluorescent assay,免疫荧光测定,,,
IFITM,interferon-induced transmembrane,干扰素诱导的跨膜,,,
IFN,interferon,干扰素,https://en.wikipedia.org/wiki/Interferon,,
IFU,Instructions For Use,使用说明,,,
IFX,infliximab,英夫利昔单抗,https://en.wikipedia.org/wiki/Infliximab,,
IGA,Investigator's Global Assessment,研究者的全球评估,,,
IGF-1,insulin-like growth factor 1,胰岛素样生长因子1,https://en.wikipedia.org/wiki/Insulin-like_growth_factor_1,,
IGFBP3,insulin-like growth factor binding protein 3,胰岛素样生长因子结合蛋白3,https://en.wikipedia.org/wiki/IGFBP3,,
IGR-SRS,image-guided robotic stereotactic radiosurgery,图像引导机器人立体定向放射外科,,,
IGR-SRS,image-guided robotic stereotactic radiosurgery ,图像引导机器人立体定向放射外科,,,
IGRA,interferon-gamma release assay,干扰素-γ释放试验,https://en.wikipedia.org/wiki/Interferon_gamma_release_assay,,
IGRT,image guided radiation therapy,影像引导放射治疗,,,
IH,Inguinal Hernia,腹股沟疝,https://en.wikipedia.org/wiki/Inguinal_hernia,,
IH,idiopathic hypersomnia,特发性失眠,https://en.wikipedia.org/wiki/Idiopathic_hypersomnia,,
IHC,inner hair cell,毛细胞,https://en.wikipedia.org/wiki/Hair_cell,,
IHF,intrahepatic fat,肝内脂肪,,,
IHSS,Idiopathic Hypersomnia Severity Scale,特发性失眠严重程度量表,,,
IIA,Internal Iliac Artery,I内动脉,,,
IIH,idiopathic intracranial hypertension,特发性颅内高压,https://en.wikipedia.org/wiki/Idiopathic_intracranial_hypertension,,
IKDC,International Knee Documentation Committee,国际膝关节文献委员会,,,
IL-13,Interleukin 13,白介素13,https://en.wikipedia.org/wiki/Interleukin_13,,
IL-17,Interleukin-17,白介素17,https://en.wikipedia.org/wiki/Interleukin_17,,
IL-4,Interleukin 4,白细胞介素-4,https://en.wikipedia.org/wiki/Interleukin_4,,
IL-4Ra,interleukin 4 receptor,白介素4受体,https://en.wikipedia.org/wiki/Interleukin-4_receptor,,
IL-5,Interleukin 5,白介素5,https://en.wikipedia.org/wiki/Interleukin_5,,
ILD,interstitial lung disease,间质性肺病,https://en.wikipedia.org/wiki/Interstitial_lung_disease,,
ILK,intralesional Kenalog,病灶内Kenalog,,,
ILR,implantable loop recorder,植入式心脏监察仪,https://en.wikipedia.org/wiki/Implantable_loop_recorder,,
IM,intramuscular,肌肉注射,https://en.wikipedia.org/wiki/Intramuscular_injection,,
IMA,Internal Mammary Artery,乳内动脉,,,
IMA,inferior mesenteric artery,肠系膜下动脉,https://en.wikipedia.org/wiki/Inferior_mesenteric_artery,,
IMA,ischemia-modified albumin,缺血修饰的白蛋白,https://en.wikipedia.org/wiki/Human_serum_albumin,,
IMH,Intramural Haematoma,壁内血肿,,,
IMM,immunomodulator,免疫治疗,https://en.wikipedia.org/wiki/Immunotherapy#Immunomodulators,,
IMN,internal mammary node,内部乳腺结,,,
IMPT,Intensity-Modulated Proton Beam Therapy,强度调制质子束治疗,,,
IMRT,intensity-modulated radiation therapy,调强放射治疗,,,
IMS,Intra‐Metatarsal Space,M骨内空间,,,
IMViC,"The IMViC (indole, methyl red, Voges-Proskauer, [in], citrate) tests",IMViC,https://en.wikipedia.org/wiki/IMViC,,Y
IN,intranasal,鼻腔给药,https://en.wikipedia.org/wiki/Nasal_administration,,
INH,Isoniazid,异烟肼,https://en.wikipedia.org/wiki/Isoniazid,,
INPH,idiopathic normal pressure hydrocephalus,特发性常压性脑积水,https://en.wikipedia.org/wiki/Normal_pressure_hydrocephalus,,
INR,international normalized ratio,凝血酶原时间,https://en.wikipedia.org/wiki/Prothrombin_time#International_normalized_ratio,,
IOC,Intraoperative Cholangiogram,术中胆道造影,,,
IOL,Intraocular Lens,人工晶体,https://en.wikipedia.org/wiki/Intraocular_lens,,
IOM,intraoperative monitoring,术中监测,https://en.wikipedia.org/wiki/Intraoperative_neurophysiological_monitoring,,
IONM,Intraoperative Neurophysiological Monitoring,术中神经生理学监测,,,
IOP,Intensive Outpatient Program,强化门诊计划,https://en.wikipedia.org/wiki/Intensive_outpatient_program,,
IOP,intraocular pressure,眼压,https://en.wikipedia.org/wiki/Intraocular_pressure,,
IP,interphalangeal,指间,https://en.wikipedia.org/wiki/Interphalangeal_joint,,
IPA,isopropyl alcohol,2-丙醇,https://en.wikipedia.org/wiki/Isopropyl_alcohol,,
IPAH,idiopathic pulmonary arterial hypertension,特发性肺动脉高压,,,
IPC,inner pillar cell,内柱细胞,,,
IPC,intermittent pneumatic compression,间歇性气动压缩,https://en.wikipedia.org/wiki/Intermittent_pneumatic_compression,,
IPF,idiopathic pulmonary fibrosis,特发性肺纤维化,https://en.wikipedia.org/wiki/Idiopathic_pulmonary_fibrosis,,
IPG,implanted pulse generator,植入式脉冲发生器,https://en.wikipedia.org/wiki/Neurostimulation,,
IPJ,Intra‐Phalangeal Joint,指内关节,,,
IPPB,intermittent positive pressure breathing,间歇性正压呼吸,https://en.wikipedia.org/wiki/Intermittent_positive_pressure_breathing,,
IPSET-Thrombosis,International Prognostic Score of Thrombosis for ET,ET血栓形成的国际预后评分,,,
IPSS,International Prostate Symptom Score,国际前列腺症状评分,https://en.wikipedia.org/wiki/International_Prostate_Symptom_Score,,
IR,implantation rate,植入率,https://en.wikipedia.org/wiki/Pregnancy_rate#Various_end_points,,
IR,internal rotation,内部旋转,https://en.wikipedia.org/wiki/Anatomical_terms_of_motion#Rotation,,
IR,interventional radiology,介入放射学,https://en.wikipedia.org/wiki/Interventional_radiology,,
IRB,institutional review board,机构审查委员会,https://en.wikipedia.org/wiki/Institutional_review_board,,
IRMA,immunoradiometric assay,免疫放射分析,https://en.wikipedia.org/wiki/Immunoradiometric_assay,,
IRP,Integrated Relaxation Pressure,综合松弛压力,,,
IS,infarct size,梗死面积,,,
IS,insulin sensitivity,胰岛素抵抗,https://en.wikipedia.org/wiki/Insulin_resistance,,
ISF,Insulin Sensitivity Factor,胰岛素敏感性因子,,,
ISG,interferon-stimulated gene,干扰素刺激基因,https://en.wikipedia.org/wiki/Interferon-stimulated_gene,,
ISIB,intrasphincteric injection of Botox,括约肌内注射肉毒杆菌毒素,,,
ISR,in-stent restenosis,支架内再狭窄,,,
ISS,Interspinous Spacer,棘突间垫片,,,
ISS,idiopathic short stature,特发性矮小身材,https://en.wikipedia.org/wiki/Idiopathic_short_stature,,
ISSNHL,idiopathic sudden sensorineural hearing loss,感觉神经性耳聋,https://en.wikipedia.org/wiki/Sensorineural_hearing_loss,,
IT,iliotibial,ili胫,,,
IT,intratympanic,鼓室内,,,
IT,time from symptom onset to coronary intervention,从症状发作到冠状动脉介入治疗的时间,,,
ITB,iliotibial band,ili胫束,https://en.wikipedia.org/wiki/Iliotibial_tract,,
ITB,intrathecal baclofen,鞘内巴氯芬,,,
ITI,Inner to Inner,内到内,,,
ITP,immune thrombocytopenic purpura,特发性血小板减少性紫癜,https://en.wikipedia.org/wiki/Immune_thrombocytopenic_purpura,,
ITR,Inferior Turbinate Reduction,下鼻甲缩小,,,
ITT,Intent-to-Treat,意向治疗,,,
ITU,intensive therapy unit,重症监护室,https://en.wikipedia.org/wiki/Intensive_care_unit,,
IU,international units,国际单位,https://en.wikipedia.org/wiki/International_unit,,
IUD,intrauterine device,宮內节育器,https://en.wikipedia.org/wiki/Intrauterine_device,,
IUGR,intrauterine growth restriction,宫内生长受限,https://en.wikipedia.org/wiki/Intrauterine_growth_restriction,,
IUP,intrauterine pregnancy,宫内妊娠,,,
IUPC,intrauterine pressure catheter,宫腔压力导管,https://en.wikipedia.org/wiki/Intrauterine_pressure_catheter,,
IV,intravenous,静脉注射,https://en.wikipedia.org/wiki/Intravenous_therapy,,
IVC,inferior vena cava,下腔静脉,https://en.wikipedia.org/wiki/Inferior_vena_cava,,
IVD,intervertebral disc,椎间盘,https://en.wikipedia.org/wiki/Intervertebral_disc,,
IVDA,Intravenous Drug Abuse,静脉药物滥用,,,
IVDU,intravenous drug use,静脉用药,https://en.wikipedia.org/wiki/Drug_injection,,
IVF,In Vitro Fertilization,体外人工受精,https://en.wikipedia.org/wiki/In_vitro_fertilisation,,
IVF,intravenous fluids,静脉注射,https://en.wikipedia.org/wiki/Intravenous_therapy,,
IVIG,intravenous immunoglobulin,静脉注射免疫球蛋白,https://en.wikipedia.org/wiki/Immunoglobulin_therapy,,
IVU,intravenous urography,静脉肾盂造影,https://en.wikipedia.org/wiki/Intravenous_pyelogram,,
IVUS,intravascular ultrasound,血管内超声,https://en.wikipedia.org/wiki/Intravascular_ultrasound,,
Ig,immunoglobulin,抗体,https://en.wikipedia.org/wiki/Antibody,,
IgA,Immunoglobulin A,IgA,https://en.wikipedia.org/wiki/Immunoglobulin_A,,
IgD,immunoglobulin D,免疫球蛋白 D,https://en.wikipedia.org/wiki/Immunoglobulin_D,,
IgE,immunoglobulin E,免疫球蛋白E,https://en.wikipedia.org/wiki/Immunoglobulin_E,,
IgG,immunoglobulin G,IgG,https://en.wikipedia.org/wiki/Immunoglobulin_G,,
IgG1,immunoglobulin G subclass 1,免疫球蛋白G亚类1,,,
IgG2,immunoglobulin G subclass 2,免疫球蛋白G亚类2,,,
IgG3,immunoglobulin G subclass 3,免疫球蛋白G亚类3,,,
IgG4,immunoglobulin G subclass 4,免疫球蛋白G亚类4,,,
IgM,immunoglobulin M,IgM,https://en.wikipedia.org/wiki/Immunoglobulin_M,,
InflAAA,Inflammatory Abdominal Aortic Aneurysm,炎症性腹主动脉瘤,,,
i-TIMI,initial-thrombolysis in myocardial infarction,心肌梗塞初期溶栓,,,
iNKT,invariant natural killer T,不变自然杀手T,,,
iPSA,intact prostate specific antigen,完整的前列腺特异性抗原,,,
iPSC,induced pluripotent stem cell,诱导性多能干细胞,https://en.wikipedia.org/wiki/Induced_pluripotent_stem_cell,,
iPSCs,induced pluripotent stem cell,诱导性多能干细胞,https://en.wikipedia.org/wiki/Induced_pluripotent_stem_cell,,Y
indel,insertion-deletion,插入删除,,,
