Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
MDS,myelodysplastic syndrome,骨髓增生异常综合症,https://en.wikipedia.org/wiki/Myelodysplastic_syndrome,,
MECC,Minimal Extracorporeal Circulation,最少的体外循环,https://en.wikipedia.org/wiki/MECC,,
MELAS,"mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes",线粒体脑病，乳酸性酸中毒和中风样发作,https://en.wikipedia.org/wiki/MELAS_syndrome,,
MELD,Model for End Stage Liver Disease,终末期肝病模型,https://en.wikipedia.org/wiki/MELD,,
MELS,modular extracorporeal liver support system,模块化体外肝支持系统,https://en.wikipedia.org/wiki/MELS,,
MEP,motor evoked potential,运动诱发电位,https://en.wikipedia.org/wiki/MEP,,
MERRF,myoclonic epilepsy with ragged red fibers,肌阵挛性癫痫伴红色纤维参差不齐,https://en.wikipedia.org/wiki/MERRF_syndrome,,
MERS,Middle East Respiratory Syndrome,中东呼吸综合症,https://en.wikipedia.org/wiki/Middle_East_respiratory_syndrome,,
MERS-CoV,Middle East Respiratory Syndrome Coronavirus,中东呼吸综合征冠状病毒,https://en.wikipedia.org/wiki/Middle_East_respiratory_syndrome%E2%80%93related_coronavirus,,
MET,Metabolic Equivalent,代谢当量,https://en.wikipedia.org/wiki/Met,,
MET,motivational enhancement therapy,动机增强疗法,https://en.wikipedia.org/wiki/Motivational_enhancement_therapy,,
MFC,medial femoral condyle,股内侧con,https://en.wikipedia.org/wiki/MFC,,
MFS,metastasis-free survival,无转移生存,https://en.wikipedia.org/wiki/MFS,,
MG,myasthenia gravis,重症肌无力,https://en.wikipedia.org/wiki/Myasthenia_gravis,,
MGMT,O[6]-methylguanine-DNA methyltransferase,O [6]-甲基鸟嘌呤-DNA甲基转移酶,https://en.wikipedia.org/wiki/MGMT,,
MHOP,mental health outpatient services,心理健康门诊,,,
MHV,Murine Hepatitis Virus,鼠肝炎病毒,https://en.wikipedia.org/wiki/MHV,,
MHV,mouse hepatitis virus,小鼠肝炎病毒,https://en.wikipedia.org/wiki/Murine_coronavirus,,
MI,myocardial infarction,心肌梗塞,https://en.wikipedia.org/wiki/Myocardial_infarction,,
MILD,minimally invasive lumbar decompression,微创腰椎减压,,,
MIP,molecular inversion probe,分子反转探针,https://en.wikipedia.org/wiki/MIP,,
ML,Microlaryngoscopy,微喉镜,https://en.wikipedia.org/wiki/ML,,
MLD,manual lymphatic drainage,人工淋巴引流,https://en.wikipedia.org/wiki/Manual_lymphatic_drainage,,
MM,multiple myeloma,多发性骨髓瘤,https://en.wikipedia.org/wiki/Multiple_myeloma,,
MMLV,Moloney murine leukemia virus,莫洛尼氏鼠白血病病毒,https://en.wikipedia.org/wiki/Murine_leukemia_virus,,
MMLV-RT,Moloney murine leukemia virus reverse transcriptase,莫洛尼氏鼠白血病病毒逆转录酶,,,
MMN,multi-focal motor neuropathy,多灶性运动神经病,https://en.wikipedia.org/wiki/Multifocal_motor_neuropathy,,
MMSE,mini-mental state examination,迷你精神状态检查,https://en.wikipedia.org/wiki/Mini%E2%80%93Mental_State_Examination,,
MMTP,Methadone Maintenance Treatment Program,美沙酮维持治疗计划,https://en.wikipedia.org/wiki/Tapachula_International_Airport,,
MN,midnight,午夜,https://en.wikipedia.org/wiki/Midnight,,
MO,migraine without aura,无先兆偏头痛,https://en.wikipedia.org/wiki/Mo,,
MO,morbid obesity,病态肥胖,https://en.wikipedia.org/wiki/Obesity,,
MOA,mechanism of action,作用机理,https://en.wikipedia.org/wiki/Mechanism_of_action,,
MODQ,Modified Oswestry Disability Questionnaire,改良的Oswestry残疾问卷,,,
MOG,myelin oligodendrocyte glycoprotein,髓鞘少突胶质细胞糖蛋白,https://en.wikipedia.org/wiki/Myelin_oligodendrocyte_glycoprotein,,
MOH,medication overuse headache,用药过度头痛,https://en.wikipedia.org/wiki/Medication_overuse_headache,,
MOI,multiplicity of infection,感染复数,https://en.wikipedia.org/wiki/Multiplicity_of_infection,,
MOM,milk of magnesia,镁乳,https://en.wikipedia.org/wiki/Magnesium_hydroxide,,
MOSF,multiple organ system failure,多器官系统衰竭,https://en.wikipedia.org/wiki/Multiple_organ_dysfunction_syndrome,,
MP-NAAT,multiplex nucleic acid amplification test,多重核酸扩增试验,,,
MPFL,Medial patellofemoral ligament,em股内侧韧带,https://en.wikipedia.org/wiki/Medial_patellofemoral_ligament,,
MPH,methylphenidate,哌醋甲酯,https://en.wikipedia.org/wiki/Methylphenidate,,
MPJ,Metatarsal Phalangeal Joint,hal指关节,https://en.wikipedia.org/wiki/Policy_debate#Judging,,
MPL,Medial Patella Luxation,Pat骨内侧Lux突,https://en.wikipedia.org/wiki/MPL,,
MPN,myeloproliferative neoplasm,骨髓增生性肿瘤,https://en.wikipedia.org/wiki/Myeloproliferative_neoplasm,,
MPNST,malignant peripheral nerve sheath tumor,恶性周围神经鞘瘤,https://en.wikipedia.org/wiki/Malignant_peripheral_nerve_sheath_tumor,,
MR,mental retardation,智力低下,https://en.wikipedia.org/wiki/Intellectual_disability,,
MR,mitral regurgitation,二尖瓣反流,https://en.wikipedia.org/wiki/Mitral_insufficiency,,
MR-SWI,magnetic resonance-susceptibility weighted imaging,磁共振敏感性加权成像,,,
MR-proADM,mid-regional pro-adrenomedullin,中部肾上腺髓质素原,,,
MRA,magnetic resonance angiography,磁共振血管造影,https://en.wikipedia.org/wiki/Magnetic_resonance_angiography,,
MRA,mandibular repositioning appliance,下颌复位装置,https://en.wikipedia.org/wiki/Mandibular_advancement_splint,,
MRADL,mobility-related activity of daily living,与流动性有关的日常生活,,,
MRC,mitochondrial respiratory chain,线粒体呼吸链,https://en.wikipedia.org/wiki/Electron_transport_chain,,
MRCP,Magnetic Resonance Cholangiopancreatogram,磁共振胰胆管造影,https://en.wikipedia.org/wiki/MRCP,,
MRCP,mental retardation with cerebral palsy,智力低下伴脑瘫,https://en.wikipedia.org/wiki/MRCP,,
MRD,margin to reflex distance,边缘到反射距离,https://en.wikipedia.org/wiki/MRD,,
MRI,magnetic resonance imaging,磁共振成像,https://en.wikipedia.org/wiki/Magnetic_resonance_imaging,,
MRM,Modified Radical Mastectomy,改良根治性乳房切除术,https://en.wikipedia.org/wiki/MRM,,
MRSA,methicillin-resistant Staphylococcus aureus,耐甲氧西林金黄色葡萄球菌,https://en.wikipedia.org/wiki/Methicillin-resistant_Staphylococcus_aureus,,
MRV,magnetic resonance venogram,磁共振静脉图,https://en.wikipedia.org/wiki/MRV,,
MRgFUS,Magnetic Resonance Guided Focused Ultrasound,磁共振引导聚焦超声,https://en.wikipedia.org/wiki/High-intensity_focused_ultrasound,,
MS,mental status,精神状态,https://en.wikipedia.org/wiki/Mental_status_examination,,
MS,mitral stenosis,二尖瓣狭窄,https://en.wikipedia.org/wiki/Mitral_valve_stenosis,,
MS,morphine sulphate,硫酸吗啡,https://en.wikipedia.org/wiki/Morphine,,
MS,multiple sclerosis,多发性硬化症,https://en.wikipedia.org/wiki/Multiple_sclerosis,,
MS,musculoskeletal,肌肉骨骼,https://en.wikipedia.org/wiki/Human_musculoskeletal_system,,
MSA,magnetic sphincter augmentation,电磁括约肌增强,https://en.wikipedia.org/wiki/MSA,,
MSA,multiple system atrophy,多系统萎缩,https://en.wikipedia.org/wiki/Multiple_system_atrophy,,
MSAFP,Maternal Serum Alpha-Fetoprotein,孕妇血清甲胎蛋白,https://en.wikipedia.org/wiki/Alpha-fetoprotein,,
MSC,mesenchymal stem cell,间充质干细胞,https://en.wikipedia.org/wiki/Mesenchymal_stem_cell,,
MSI,microsatellite instability,微卫星不稳定性,https://en.wikipedia.org/wiki/Microsatellite_instability,,
MSKCC,Memorial Sloan-Kettering Cancer Center,斯隆-凯特琳纪念癌症中心,https://en.wikipedia.org/wiki/Memorial_Sloan_Kettering_Cancer_Center,,
MSLT,Multiple Sleep Latency Test,多次睡眠延迟测试,https://en.wikipedia.org/wiki/Multiple_Sleep_Latency_Test,,
MSSA,methicillin-sensitive Staphylococcus aureus,甲氧西林敏感的金黄色葡萄球菌,https://en.wikipedia.org/wiki/Staphylococcus_aureus,,
MTF,male-to-female,男对女,https://en.wikipedia.org/wiki/Trans_woman#Terminology,,
MTHFR,methylenetetrahydrofolate reductase,亚甲基四氢叶酸还原酶,https://en.wikipedia.org/wiki/Methylenetetrahydrofolate_reductase,,
MTP,metatarsophalangeal,tar趾,https://en.wikipedia.org/wiki/Metatarsophalangeal_joints,,
MTX,methotrexate,甲氨蝶呤,https://en.wikipedia.org/wiki/Methotrexate,,
MUA,manipulation under anesthesia,麻醉下的操作,https://en.wikipedia.org/wiki/Manipulation_under_anesthesia,,
MV,mechanical ventilation,机械通风,https://en.wikipedia.org/wiki/Mechanical_ventilation,,
MVA,motor vehicle accident,机动车事故,https://en.wikipedia.org/wiki/Traffic_collision,,
MVC,maximal voluntary contraction,最大自愿收缩,https://en.wikipedia.org/wiki/MVC,,
MVD,multi-vessel disease,多支血管疾病,https://en.wikipedia.org/wiki/Ministry_of_Internal_Affairs_(Russia),,
MVO,microvascular obstruction,微血管阻塞,https://en.wikipedia.org/wiki/No_reflow_phenomenon,,
MVP,mitral valve prolapse,二尖瓣脱垂,https://en.wikipedia.org/wiki/Mitral_valve_prolapse,,
MVR,Mitral Valve Replacement,二尖瓣置换,https://en.wikipedia.org/wiki/MVR,,
MVS,mitral valve surgery,二尖瓣手术,https://en.wikipedia.org/wiki/MVS,,
MVV,Mitral Valve Valvuloplasty,二尖瓣瓣膜成形术,https://en.wikipedia.org/wiki/MVV_Maastricht,,
MWS,Mowat-Wilson syndrome,Mowat-Wilson综合征,https://en.wikipedia.org/wiki/Mowat%E2%80%93Wilson_syndrome,,
MX,Distant metastasis cannot be measured,远处转移无法测量,https://www.cancer.gov/about-cancer/diagnosis-staging/staging,,
Mb,myoglobin,肌红蛋白,https://en.wikipedia.org/wiki/Myoglobin,,
Mg,magnesium,镁,https://en.wikipedia.org/wiki/Magnesium,,
MgSO₄,Magnesium sulfate,硫酸镁,https://en.wikipedia.org/wiki/Magnesium_sulfate,,
Mpro,main protease,主要蛋白酶,https://en.wikipedia.org/wiki/Mpro,,
MuSK,Muscle-Specific Kinase,肌肉特异性激酶,https://en.wikipedia.org/wiki/MuSK_protein,,
Multi-D,multi-disciplinary,多学科的,https://en.wikipedia.org/wiki/Interdisciplinarity,,
mAbs,monoclonal antibodies,单克隆抗体,https://en.wikipedia.org/wiki/Monoclonal_antibody,,
mCRPC,metastatic castration-resistant prostate cancer,转移性去势抵抗性前列腺癌,https://en.wikipedia.org/wiki/Prostate_cancer,,
mLAP,mean left atrial pressure,平均左心房压,,,
mPCR,multiplex polymerase chain reaction,多重聚合酶链反应,https://en.wikipedia.org/wiki/Multiplex_polymerase_chain_reaction,,
mRNA,messenger RNA,信使RNA,https://en.wikipedia.org/wiki/Messenger_RNA,,
