Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
HC,hydroxycarbamide,羟基脲,https://en.wikipedia.org/wiki/Hydroxycarbamide,,
HCAP,healthcare-associated pneumonia,医疗保健相关性肺炎,https://en.wikipedia.org/wiki/Hospital-acquired_pneumonia,,
HCC,Hepatocellular Carcinoma ,肝细胞癌,,,
HCG,Human Chorionic Gonadotropin,人绒毛膜促性腺激素,https://en.wikipedia.org/wiki/Human_chorionic_gonadotropin,,
HCM,hypertrophic cardiomyopathy,肥厚型心肌病,https://en.wikipedia.org/wiki/Hypertrophic_cardiomyopathy,,
HCMV,human cytomegalovirus,人巨细胞病毒,https://en.wikipedia.org/wiki/Human_betaherpesvirus_5,,
HCO3,bicarbonate,碳酸氢盐,https://en.wikipedia.org/wiki/Bicarbonate,,
HCPCS,Healthcare Common Procedure Coding System,医疗保健通用程序编码系统,https://en.wikipedia.org/wiki/Healthcare_Common_Procedure_Coding_System,,
HCQ,hydroxychloroquine,羟氯喹,https://en.wikipedia.org/wiki/Hydroxychloroquine,,
HCTZ,hydrochlorothiazide,氢氯噻嗪,https://en.wikipedia.org/wiki/Hydrochlorothiazide,,
HCV,Hepatitis C virus,丙型肝炎病毒,https://en.wikipedia.org/wiki/Hepatitis_C_virus,,
HCVD,hypertensive cardiovascular disease,高血压心血管疾病,,,
HCl,hydrochloric acid,盐酸,https://en.wikipedia.org/wiki/Hydrochloric_acid,,
HCoV-229E,human coronavirus 229E,人类冠状病毒229E,https://en.wikipedia.org/wiki/Human_coronavirus_229E,,
HD,Hirschsprung's disease,赫氏弹簧病,https://en.wikipedia.org/wiki/Hirschsprung%27s_disease,,
HD,hemodialysis,血液透析,https://en.wikipedia.org/wiki/Hemodialysis,,
HD,hemodynamically,血液动力学,,,
HD,hospital day,住院日,,,
HDC,histidine decarboxylase,组氨酸脱羧酶,https://en.wikipedia.org/wiki/Histidine_decarboxylase,,
HDFN,hemolytic disease of the fetus and newborn,新生儿溶血症,https://en.wikipedia.org/wiki/Hemolytic_disease_of_the_newborn,,
HDL,high density lipoprotein,高密度脂蛋白,https://en.wikipedia.org/wiki/High-density_lipoprotein,,
HDLP,HDL particle concentration,HDL颗粒浓度,,,
HDN,hemolytic disease of the newborn,新生儿溶血症,https://en.wikipedia.org/wiki/Hemolytic_disease_of_the_newborn,,
HE,hemagglutinin–acetylesterase,血凝素-乙酰酯酶,,,
HEART,"History, EKG, Age, Risk factors, initial Troponin",历史，心电图，年龄，危险因素，初始肌钙蛋白,,,
HEENT,"head, eyes, ears, nose, throat",头，眼，耳，鼻，喉,,,
HER2,human epidermal growth factor receptor 2,HER2/neu,https://en.wikipedia.org/wiki/HER2/neu,,
HF,heart failure,心脏衰竭,https://en.wikipedia.org/wiki/Heart_failure,,
HFCC,high-frequency chest clearance,高频胸部清除,,,
HFCWO,high-frequency chest wall oscillation,高频胸壁振荡,,,
HFNC,High-Flow Nasal Cannula,高流量鼻导管,,,
HFpEF,heart failure with preserved ejection fraction,保留射血分数的心力衰竭,https://en.wikipedia.org/wiki/Heart_failure_with_preserved_ejection_fraction,,
HGB,hemoglobin,血红蛋白,https://en.wikipedia.org/wiki/Hemoglobin,,
HGF,hepatocyte growth factor,肝细胞生长因子,https://en.wikipedia.org/wiki/Hepatocyte_growth_factor,,
HH,hiatal hernia,食管裂孔疝,https://en.wikipedia.org/wiki/Hiatal_hernia,,
HHA,home health aide,家庭健康助手,https://en.wikipedia.org/wiki/Home_care_in_the_United_States,,
HHS,Hyperglycemic Hyperosmolar Syndrome,高血糖高渗综合征,,,
HI,homicidal ideation,杀人观念,https://en.wikipedia.org/wiki/Homicidal_ideation,,
HIDA,cholescintigraphy,胆管造影,https://en.wikipedia.org/wiki/Cholescintigraphy,,
HIFU,High Intensity Focused Ultrasound,高强度聚焦超声,,,
HIPAA,Health Insurance Portability and Accountability Act,健康保险便利和责任法案,https://en.wikipedia.org/wiki/Health_Insurance_Portability_and_Accountability_Act,,
HIS,histidine,组氨酸,https://en.wikipedia.org/wiki/Histidine,,
HIV,human immunodeficiency virus,人类免疫缺陷病毒,https://en.wikipedia.org/wiki/HIV,,
HK,Horseshoe Kidney,马蹄肾,,,
HL,hearing loss,听力损失,https://en.wikipedia.org/wiki/Hearing_loss,,
HLA,human leukocyte antibody,人类白细胞抗体,,,
HLA-B27,human leukocyte antigen B27,人类白细胞抗原B27,https://en.wikipedia.org/wiki/HLA-B27,,
HLD,Handicapping Labio-Lingual Deviation,阻碍唇舌舌偏,,,
HLP,hyperlipidemia,高脂血症,https://en.wikipedia.org/wiki/Hyperlipidemia,,
HM,Heineke-Mikulicz,海涅克·米库利兹（Heineke-Mikulicz）,,,
HM,Heller myotomy ,海勒肌切开术,https://en.wikipedia.org/wiki/Heller_myotomy,,
HM,hemiplegic migraine,偏瘫偏头痛,https://en.wikipedia.org/wiki/Hemiplegic_migraine,,
HME,home medical equipment,家用医疗设备,https://en.wikipedia.org/wiki/Home_medical_equipment,,
HMG-CoA,hydroxymethyl glutaryl coenzyme A,羟甲基戊二酰辅酶A,,,
HMGB1,high mobility group box 1,高机动性组合箱1,,,
HNMT,histamine N-methyltransferase,组胺N-甲基转移酶,https://en.wikipedia.org/wiki/Histamine_N-methyltransferase,,
HNP,Herniated Nucleus Pulposus,椎间盘突出,,,
HNS,hypoglossal nerve stimulation,舌下神经刺激,,,
HOCM,Hypertrophic Obstructive Cardiomyopathy,肥厚性梗阻性心肌病,,,
HOMA,Homeostatic Model Assessment,稳态模型评估,,,
HOMA-IR,homeostatic model assessment of insulin resistance,胰岛素抵抗的稳态模型评估,,,
HP,Hypopharynx,咽,https://en.wikipedia.org/wiki/Pharynx#Laryngopharynx,,
HPA,hypothalamic-pituitary-adrenal,下丘脑-垂体-肾上腺轴,https://en.wikipedia.org/wiki/Hypothalamic%E2%80%93pituitary%E2%80%93adrenal_axis,,
HPI,history of present illness,现病史,https://en.wikipedia.org/wiki/History_of_the_present_illness,,
HPS,Hantavirus pulmonary syndrome,汉坦病毒性肺综合征,https://en.wikipedia.org/wiki/Hantavirus_pulmonary_syndrome,,
HPV,human papillomavirus,人类乳头瘤病毒,https://en.wikipedia.org/wiki/Human_papillomavirus_infection,,
HR,hazard ratio,风险比,https://en.wikipedia.org/wiki/Hazard_ratio,,
HR,heart rate,心率,https://en.wikipedia.org/wiki/Heart_rate,,
HR,hormone receptor,激素受体,https://en.wikipedia.org/wiki/Hormone_receptor,,
HRM,high-resolution manometry,高分辨率测压,,,
HRQL,health-related quality of life,健康相关的生活质量,https://en.wikipedia.org/wiki/Quality_of_life_(healthcare),,
HRT,hormone replacement therapy,激素替代疗法,https://en.wikipedia.org/wiki/Hormone_replacement_therapy,,
HS,at bedtime,睡前,,,
HS,heparan sulfate,硫酸乙酰肝素,https://en.wikipedia.org/wiki/Heparan_sulfate,,
HS,high-sensitivity,高灵敏度,,,
HS-CRP,high sensitivity C-reactive protein,C反应蛋白,https://en.wikipedia.org/wiki/C-reactive_protein,,
HSAT,home sleep apnea test,家庭睡眠呼吸暂停测试,,,
HSC,hematopoietic stem cells,造血干细胞,https://en.wikipedia.org/wiki/Hematopoietic_stem_cell,,
HSCT,hematopoietic stem cell transplant,骨髓移植,https://en.wikipedia.org/wiki/Hematopoietic_stem_cell_transplantation,,
HSP,Henoch-Schönlein purpura,过敏性紫斑症,https://en.wikipedia.org/wiki/Henoch%E2%80%93Sch%C3%B6nlein_purpura,,
HSP,hereditary spastic paraplegia,遗传性痉挛性下半身麻痹,https://en.wikipedia.org/wiki/Hereditary_spastic_paraplegia,,
HSPG,Heparan Sulfate Proteoglycan,硫酸乙酰肝素蛋白聚糖,,,
HSROC,hierarchical summary receiver operating characteristic,分级汇总接收机的工作特性,,,
HSV,herpes simplex virus,单纯疱疹病毒,https://en.wikipedia.org/wiki/Herpes_simplex_virus,,
HTC,humidified trach collar,加湿的领子,,,
HTG,hypertriglyceridemia,高甘油三酯血症,https://en.wikipedia.org/wiki/Hypertriglyceridemia,,
HTN,Hypertension,高血压,https://en.wikipedia.org/wiki/Hypertension,,
HTV,height velocity,高度速度,,,
HU,hydroxyurea,羟基脲,https://en.wikipedia.org/wiki/Hydroxycarbamide,,
HUD,Humanitarian Use Device,人道主义使用设备,,,
HUS,hemolytic-uremic syndrome,溶血性尿毒综合征,https://en.wikipedia.org/wiki/Hemolytic%E2%80%93uremic_syndrome,,
HV,hypertensive vasculopathy,高血压血管病,,,
HZV,Herpes Zoster Virus,带状疱疹病毒,,,
Hb,hemoglobin,血红蛋白,https://en.wikipedia.org/wiki/Hemoglobin,,
HbSS,sickle cell,镰刀型红血球疾病,https://en.wikipedia.org/wiki/Sickle_cell_disease,,
Hct,hematocrit,血细胞压积,https://en.wikipedia.org/wiki/Hematocrit,,
HeFH,heterozygous familial hypercholesterolaemia,杂合子家族性高胆固醇血症,,,
Hg,hemoglobin,血红蛋白,https://en.wikipedia.org/wiki/Hemoglobin,,
Hg,mercury,汞,https://en.wikipedia.org/wiki/Mercury,,
Ht,height,高度,https://en.wikipedia.org/wiki/Height,,
Hx,history,历史,https://en.wikipedia.org/wiki/History,,
h/o,history of,的历史,,,
hK2,human kallikrein 2,人类激肽释放酶2,,,
