Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
ART,Antiretroviral Therapy,抗逆转录病毒药物,https://en.wikipedia.org/wiki/Management_of_HIV/AIDS,,
ARV,antiretroviral,抗逆转录病毒药物,https://en.wikipedia.org/wiki/Management_of_HIV/AIDS,,
ARVC,arrhythmogenic right ventricular cardiomyopathy,心律失常性右室心肌病,https://en.wikipedia.org/wiki/Arrhythmogenic_cardiomyopathy,,
ARVD,Arrhythmogenic Right Ventricular Dysplasia,心律失常性右室发育不良,,,
AS,ankylosing spondylitis,强直性脊柱炎,https://en.wikipedia.org/wiki/Ankylosing_spondylitis,,
AS,aortic stenosis,主动脉瓣狭窄,https://en.wikipedia.org/wiki/Aortic_stenosis,,
AS-OCT,anterior segment optical coherence tomography,前段光学相干断层扫描,,,
ASA,American Society of Anesthesiologists,美国麻醉医师学会,https://en.wikipedia.org/wiki/American_Society_of_Anesthesiologists,,
ASA,acetylsalicylic acid (aspirin),乙酰水杨酸（阿司匹林）,,,
ASAM,American Society of Addiction Medicine,美国成瘾医学学会,https://en.wikipedia.org/wiki/American_Society_of_Addiction_Medicine,,
ASCVD,atherosclerotic cardiovascular disease,冠状动脉疾病,https://en.wikipedia.org/wiki/Coronary_artery_disease,,
ASD,Adult Spinal Deformity,成人脊柱畸形,,,
ASD,atrial septal defect,心房中隔缺损,https://en.wikipedia.org/wiki/Atrial_septal_defect,,
ASD,autism spectrum disorder,自闭症光谱,https://en.wikipedia.org/wiki/Autism_spectrum,,
ASHD,arteriosclerotic heart disease,动脉硬化性心脏病,https://en.wikipedia.org/wiki/Arteriosclerotic_heart_disease,,
ASHF,acute systolic heart failure,急性收缩性心力衰竭,,,
ASM,airway smooth muscle,气道平滑肌,,,
ASMA,Anti Smooth Muscle Antibody,抗平滑肌抗体,,,
ASO,Anterior Segmental Osteotomy,前段截骨术,,,
ASO,Antistreptolysin O,抗链球菌溶血素O试验,https://en.wikipedia.org/wiki/Anti-streptolysin_O,,
ASRM,American Society for Reproductive Medicine,美国生殖医学学会,https://en.wikipedia.org/wiki/American_Society_for_Reproductive_Medicine,,
ASSFN,American Society of Stereotactic and Functional Neurosurgery,美国立体定向和功能神经外科学会,,,
AST,aspartate aminotransferase,天冬氨酸氨基转移酶,https://en.wikipedia.org/wiki/Aspartate_transaminase,,
ASTRO,American Society for Radiation Oncology,美国放射肿瘤学会,https://en.wikipedia.org/wiki/American_Society_for_Radiation_Oncology,,
ASU,ambulatory surgery unit,门诊手术室,,,
ASVD,Arteriosclerotic Vascular Disease,动脉硬化性血管疾病,,,
ASVD,atrioventricular septal defect,房室间隔缺损,https://en.wikipedia.org/wiki/Atrioventricular_septal_defect,,
AT,alopecia totalis,总体脱发,https://en.wikipedia.org/wiki/Alopecia_totalis,,
AT,anterior tibial,胫骨前,https://en.wikipedia.org/wiki/Anterior_tibial,,
AT/RT,atypical teratoid/rhabdoid tumor,非典型畸胎横纹肌样瘤,https://en.wikipedia.org/wiki/Atypical_teratoid_rhabdoid_tumor,,
ATA,atrial tachyarrhythmia,房性心律失常,,,
ATACH,atrial tachycardia,心房性心动过速,https://en.wikipedia.org/wiki/Atrial_tachycardia,,
ATEC,Autism Treatment Evaluation Checklist,自闭症治疗评估清单,https://en.wikipedia.org/wiki/Autism_Treatment_Evaluation_Checklist,,
ATFL,anterior talofibular ligament,距前腓韧带,https://en.wikipedia.org/wiki/Anterior_talofibular_ligament,,
ATG,anti-thymocyte globulin,抗胸腺细胞球蛋白,https://en.wikipedia.org/wiki/Anti-thymocyte_globulin,,
ATI,antibodies to Infliximab,英夫利昔单抗抗体,,,
ATK,above the knee,膝盖以上,,,
ATM,Ataxia-Telangiectasia mutation,共济失调-毛细血管扩张突变,,,
ATN,acute tubular necrosis,急性肾小管坏死,https://en.wikipedia.org/wiki/Acute_tubular_necrosis,,
ATN,atubular necrosis,肾小管坏死,,,
ATOMAC,Arizona-Texas-Oklahoma-Memphis-Arkansas Consortium,亚利桑那州-得克萨斯州-俄克拉荷马州-孟菲斯-阿肯色州联盟,,,
ATP,adenosine triphosphate,三磷酸腺苷,https://en.wikipedia.org/wiki/Adenosine_triphosphate,,
ATR,achilles tendon rupture,跟腱断裂,https://en.wikipedia.org/wiki/Achilles_tendon_rupture,,
AU,alopecia universalis,普遍性脱发,https://en.wikipedia.org/wiki/Alopecia_universalis,,
AUA,American Urological Association,美国泌尿科协会,https://en.wikipedia.org/wiki/American_Urological_Association,,
AUC,area under the curve,积分,https://en.wikipedia.org/wiki/Integral,,
AUD,alcohol use disorder,酗酒,https://en.wikipedia.org/wiki/Alcoholism,,
AUDIT,Alcohol Use Disorders Inventory Test,酒精使用障碍量表测试,,,
AUI,Aorto-Uni-Iliac,伊利亚克,,,
AV,arteriovenous,动静脉,https://en.wikipedia.org/wiki/Arteriovenous,,
AV,atrioventricular,房室,https://en.wikipedia.org/wiki/Atrioventricular,,
AVB,Aortic Valve Bypass,主动脉瓣旁路,https://en.wikipedia.org/wiki/Apicoaortic_Conduit,,
AVD,atrioventricular dissociation,房室解离,,,
AVF,arteriovenous fistula,动静脉瘘,https://en.wikipedia.org/wiki/Arteriovenous_fistula,,
AVI,automatic volume infusion pump,自动容积输液泵,,,
AVM,arteriovenous malformation,动静脉畸形,https://en.wikipedia.org/wiki/Arteriovenous_malformation,,
AVN,avascular necrosis,无血管坏死,https://en.wikipedia.org/wiki/Avascular_necrosis,,
AVNRT,atrioventricular nodal reentrant tachycardia,房室结折返性心动过速,https://en.wikipedia.org/wiki/AV_nodal_reentrant_tachycardia,,
AVP,arginine vasopressin,抗利尿激素,https://en.wikipedia.org/wiki/Vasopressin,,
AVR,aortic valve replacement,主动脉瓣置换,https://en.wikipedia.org/wiki/Aortic_valve_replacement,,
AVRMVR,aortic valve repair or replacement mitral valve repair or replacement,主动脉瓣修复或置换二尖瓣修复或置换,,,
AVSS,"afebrile, vital signs stable",发热，生命体征稳定,,,
AVWS,acquired von Willebrand syndrome,获得性von Willebrand综合征,,,
AWL,after weight loss,减肥后,,,
AWR,Abdominal Wall Reconstruction,腹壁重建,,,
AXR,abdominal x-ray,腹部X射线,https://en.wikipedia.org/wiki/Abdominal_x-ray,,
AXT,alternating exotropia,交替性外斜视,,,
AZA,azathiopurine,硫唑嘌呤,,,
Abd,abdomen,腹,https://en.wikipedia.org/wiki/Abdomen,,
AdV,adenovirus,腺病毒,https://en.wikipedia.org/wiki/Adenoviridae,,
Afeb,afebrile,人体温度,https://en.wikipedia.org/wiki/Human_body_temperature#Fever,,
Alb,albumin,白蛋白,https://en.wikipedia.org/wiki/Albumin,,
Alk phos,alkaline phosphatase,碱性磷酸酶,https://en.wikipedia.org/wiki/Alkaline_phosphatase,,
Ao,aorta,主动脉,https://en.wikipedia.org/wiki/Aorta,,
AutoPAP,automatic titrating positive airway pressure,自动滴定气道正压,,,
Ax-fem,Axillo‐Femoral,轴索股,,,
aCGH,array comparative genomic hybridization,比较基因组杂交,https://en.wikipedia.org/wiki/Comparative_genomic_hybridization#Array-CGH,,
aPTT,activated partial thromboplastin,活化的部分凝血活酶,https://en.wikipedia.org/wiki/Partial_thromboplastin_time,,
aVF,augmented vector foot,增强矢量足,,,
abd gr,abdominal girth,腰,https://en.wikipedia.org/wiki/Waist,,
ac,before meals,吃饭前,,,
amb,ambulate,步行,https://en.wikipedia.org/wiki/Walking,,
amp,ampule,安瓿,https://en.wikipedia.org/wiki/Ampoule,,
anast,anastomosis,吻合,https://en.wikipedia.org/wiki/Anastomosis,,
ant,anterior,人体解剖学方位,https://en.wikipedia.org/wiki/Anatomical_terms_of_location#Anterior_and_posterior,,
