Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
GDNF,glial cell line-derived neurotrophic factor,胶质细胞源性神经营养因子,https://en.wikipedia.org/wiki/Glial_cell_line-derived_neurotrophic_factor,,
GEF,guanosine nucleotide exchange factor,鸟苷核苷酸交换因子,https://en.wikipedia.org/wiki/GEF,,
GEJ,gastroesophageal junction,胃食管连接,https://en.wikipedia.org/wiki/Stomach#Sections,,
GEP,gene expression profiling,基因表达谱,https://en.wikipedia.org/wiki/Gene_expression_profiling,,
GEP-NET,gastroenteropancreatic neuroendocrine tumor,胃肠胰腺神经内分泌肿瘤,https://en.wikipedia.org/wiki/Neuroendocrine_tumor,,
GER,gastroesophageal reflux,胃食管反流,https://en.wikipedia.org/wiki/Gastroesophageal_reflux_disease,,
GERD,gastroesophageal reflux disease,胃食管反流病,https://en.wikipedia.org/wiki/Gastroesophageal_reflux_disease,,
GES,gastric emptying scintigraphy,胃排空闪烁扫描,https://en.wikipedia.org/wiki/GES,,
GFMCS,Gross Motor Function Classification System,运动功能总分类系统,https://en.wikipedia.org/wiki/Gross_Motor_Function_Classification_System,,
GFP,green fluorescent protein,绿色荧光蛋白,https://en.wikipedia.org/wiki/Green_fluorescent_protein,,
GFR,Glomerular filtration rate,肾小球滤过率,https://en.wikipedia.org/wiki/Glomerular_filtration_rate,,
GGA,Genioglossus Advancement,舌肌进展,https://en.wikipedia.org/wiki/Genioglossus_advancement,,
GGO,ground-glass opacity,毛玻璃不透明,https://en.wikipedia.org/wiki/Ground-glass_opacity,,
GGT,gamma-glutamyltransferase,γ-谷氨酰转移酶,https://en.wikipedia.org/wiki/Gamma-glutamyltransferase,,
GH,growth hormone,生长激素,https://en.wikipedia.org/wiki/Growth_hormone,,
GHBP,growth hormone binding protein,生长激素结合蛋白,https://en.wikipedia.org/wiki/Growth_hormone-binding_protein,,
GHD,growth hormone deficiency,生长激素缺乏症,https://en.wikipedia.org/wiki/Growth_hormone_deficiency,,
GHR,growth hormone receptor,生长激素受体,https://en.wikipedia.org/wiki/Growth_hormone_receptor,,
GI,gastroenterologist,肠胃科医生,https://en.wikipedia.org/wiki/Gastroenterology,,
GI,gastrointestinal,胃肠道,https://en.wikipedia.org/wiki/Gastrointestinal_tract,,
GIB,gastrointestinal bleeding,胃肠道出血,https://en.wikipedia.org/wiki/Gastrointestinal_bleeding,,
GIPP,Gastrointestinal Pathogen Panel,胃肠道病原体,,,
GIST,gastrointestinal stromal tumor,胃肠道间质瘤,https://en.wikipedia.org/wiki/Gastrointestinal_stromal_tumor,,
GJ,Gastro-Jejunal,胃空肠,https://en.wikipedia.org/wiki/GJ,,
GLP-1,glucagon-like peptide-1,胰高血糖素样肽1,https://en.wikipedia.org/wiki/Glucagon-like_peptide-1,,
GLT,glucose loading test,葡萄糖负荷试验,https://en.wikipedia.org/wiki/GLT,,
GLUT,glucose transport proteins,葡萄糖转运蛋白,https://en.wikipedia.org/wiki/Glut,,
GM-CSF,granulocyte macrophage colony-stimulating factor,粒细胞巨噬细胞集落刺激因子,https://en.wikipedia.org/wiki/Granulocyte-macrophage_colony-stimulating_factor,,
GMFCS,Gross Motor Function Classification System,运动功能总分类系统,https://en.wikipedia.org/wiki/Gross_Motor_Function_Classification_System,,
GNR,gram negative rod,克负棒,https://en.wikipedia.org/wiki/GNR,,
GOF,gain-of-function,功能获得,https://en.wikipedia.org/wiki/Mutation#By_effect_on_function,,
GPB,glycophorin B,糖蛋白B,https://en.wikipedia.org/wiki/GPB,,
GPBB,glycogen phosphorylase BB isoenzyme,糖原磷酸化酶BB同工酶,https://en.wikipedia.org/wiki/Glycogen_phosphorylase_isoenzyme_BB,,
GPC,gram positive coccus,革兰氏阳性球菌,https://en.wikipedia.org/wiki/GPC,,
GPCR,G-protein-coupled receptor,G蛋白偶联受体,https://en.wikipedia.org/wiki/G_protein-coupled_receptor,,
GPR,gram positive rods,革兰氏阳性棒,https://en.wikipedia.org/wiki/GPR,,
GPS,Genomic Prostate Score,基因组前列腺评分,https://en.wikipedia.org/wiki/Global_Positioning_System,,
GRADE,"Grading of Recommendations, Assessment, Development, and Evaluations",建议，评估，发展和评估的等级,"https://en.wikipedia.org/wiki/The_Grading_of_Recommendations_Assessment,_Development_and_Evaluation_(GRADE)_approach",,
GRB2,growth factor receptor-bound protein 2,生长因子受体结合蛋白2,https://en.wikipedia.org/wiki/GRB2,,
GRE,gradient recalled echo,梯度回波,https://en.wikipedia.org/wiki/Graduate_Record_Examinations,,
GRS,Gender Reassignment Surgery,性别再分配手术,https://en.wikipedia.org/wiki/Sex_reassignment_surgery,,
GS,general surgery,普外科,https://en.wikipedia.org/wiki/General_surgery,,
GS,gram stain,克污点,https://en.wikipedia.org/wiki/Gram_stain,,
GSD,glycogen storage disease,糖原贮积病,https://en.wikipedia.org/wiki/Glycogen_storage_disease,,
GSV,great saphenous vein,大隐静脉,https://en.wikipedia.org/wiki/Great_saphenous_vein,,
GSW,gunshot wound,枪伤,https://en.wikipedia.org/wiki/Gunshot_wound,,
GTC seizure,generalized tonic-clonic seizure,全身性强直阵挛性发作,https://en.wikipedia.org/wiki/Generalized_tonic%E2%80%93clonic_seizure,,
GTT,drop(s),下降,https://en.wikipedia.org/wiki/GTT,,
GTT,glucose tolerance test,葡萄糖耐量试验,https://en.wikipedia.org/wiki/Glucose_tolerance_test,,
GTV,gross tumor volume,肿瘤总体积,https://en.wikipedia.org/wiki/GTV,,
GU,genitourinary,泌尿生殖,https://en.wikipedia.org/wiki/Genitourinary_system,,
GVHD,graft versus host disease,移植物抗宿主病,https://en.wikipedia.org/wiki/Graft-versus-host_disease,,
GWAS,genome-wide association study,全基因组关联研究,https://en.wikipedia.org/wiki/Genome-wide_association_study,,
Gluc,glucose,葡萄糖,https://en.wikipedia.org/wiki/Glucose,,
GnRH,gonadotropin-releasing hormone,促性腺激素释放激素,https://en.wikipedia.org/wiki/Gonadotropin-releasing_hormone,,
GnRHa,gonadotropin-releasing hormone agonist,促性腺激素释放激素激动剂,https://en.wikipedia.org/wiki/Gonadotropin-releasing_hormone_agonist,,
Gyn,gynecology,妇科,https://en.wikipedia.org/wiki/Gynaecology,,
gDNA,genomic DNA,基因组DNA,https://en.wikipedia.org/wiki/Genomic_DNA,,
